
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:D9:E7:09:6D:0C, 2021-03-18 11:45:02, 2021-03-18 11:45:45, 11, 130, WPA2, CCMP, PSK, -68,       32,       24,   0.  0.  0.  0,  11, PNJ_Hotspot, 
46:D9:E7:09:6D:0C, 2021-03-18 11:45:03, 2021-03-18 11:45:45, 11, 130, WPA2, CCMP, PSK, -67,       30,        0,   0.  0.  0.  0,   0, , 
76:81:9A:40:04:F7, 2021-03-18 11:45:00, 2021-03-18 11:45:46,  1,  65, WPA2, CCMP, PSK, -65,       34,        0,   0.  0.  0.  0,   9, Mingenium, 
32:6F:E7:D4:54:9E, 2021-03-18 11:45:00, 2021-03-18 11:45:45,  6, 180, WPA2, CCMP, PSK, -64,       32,        0,   0.  0.  0.  0,   9, vivo 2019, 
62:6D:C7:27:97:E1, 2021-03-18 11:45:03, 2021-03-18 11:45:45,  6,  65, WPA2, CCMP, PSK, -64,       32,        0,   0.  0.  0.  0,  26, DIRECT-e1-HP M277 LaserJet, 
A6:D9:90:A5:A0:39, 2021-03-18 11:45:02, 2021-03-18 11:45:44,  4, 180, WPA2, CCMP, PSK, -58,       31,        2,   0.  0.  0.  0,  13, Bunda danayaz, 
F0:9F:C2:C9:63:D2, 2021-03-18 11:45:03, 2021-03-18 11:45:45,  6, 195, WPA2, CCMP, PSK, -51,       33,       10,   0.  0.  0.  0,  11, PNJ_Hotspot, 
F2:9F:C2:C9:63:D2, 2021-03-18 11:45:03, 2021-03-18 11:45:45,  6, 195, WPA2, CCMP, PSK, -50,       31,        0,   0.  0.  0.  0,   0, , 
D2:F8:8C:3D:A2:AA, 2021-03-18 11:45:28, 2021-03-18 11:45:45,  6,  65, WPA2, CCMP, PSK, -38,       14,        0,   0.  0.  0.  0,  11, PNJ_Hotspot, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:9C:67:2D:33:2B, 2021-03-18 11:45:03, 2021-03-18 11:45:03, -95,        1, (not associated) ,
2C:D0:66:1D:2F:9C, 2021-03-18 11:45:34, 2021-03-18 11:45:34, -91,        2, 44:D9:E7:09:6D:0C,
7A:E9:DF:CA:26:73, 2021-03-18 11:45:00, 2021-03-18 11:45:00, -89,        2, (not associated) ,
B2:2A:26:26:3D:6F, 2021-03-18 11:45:02, 2021-03-18 11:45:45, -79,       10, 44:D9:E7:09:6D:0C,
08:7F:98:ED:33:09, 2021-03-18 11:45:30, 2021-03-18 11:45:30, -79,        4, (not associated) ,
60:6D:C7:27:17:E1, 2021-03-18 11:45:10, 2021-03-18 11:45:10, -67,        1, F0:9F:C2:C9:63:D2,
F8:A2:D6:EA:4C:C5, 2021-03-18 11:45:00, 2021-03-18 11:45:45, -58,       14, 32:6F:E7:D4:54:9E,
50:3E:AA:BF:6C:45, 2021-03-18 11:45:22, 2021-03-18 11:45:22, -56,        9, (not associated) ,
30:B5:C2:1C:26:1E, 2021-03-18 11:45:03, 2021-03-18 11:45:34, -50,        2, 44:D9:E7:09:6D:0C,
50:3E:AA:CB:B8:EA, 2021-03-18 11:45:24, 2021-03-18 11:45:38, -48,        2, 44:D9:E7:09:6D:0C,
30:C9:AB:E0:D7:11, 2021-03-18 11:45:15, 2021-03-18 11:45:15, -38,        7, (not associated) ,
D8:9C:67:2C:87:F5, 2021-03-18 11:45:19, 2021-03-18 11:45:23,  -1,        2, A6:D9:90:A5:A0:39,
A4:D9:90:6F:0E:91, 2021-03-18 11:45:45, 2021-03-18 11:45:46, -71,        4, (not associated) ,

