
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
36:97:F6:C7:0C:DC, 2021-05-05 07:28:46, 2021-05-05 07:32:59,  9,  65, WPA2, CCMP, PSK, -39,      457,      135,   0.  0.  0.  0,  10, wifi ummat, 
D2:F8:8C:3D:A2:AA, 2021-05-05 07:32:55, 2021-05-05 07:33:01,  6,  65, WPA2, CCMP, PSK, -33,       16,        0,   0.  0.  0.  0,  10, wifi ummat, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B4:04:18:7F:A3:BA, 2021-05-05 07:31:21, 2021-05-05 07:31:21, -59,        2, (not associated) ,
DA:A1:19:17:EB:13, 2021-05-05 07:30:44, 2021-05-05 07:30:44, -55,        1, (not associated) ,
BC:1C:81:35:CC:75, 2021-05-05 07:30:09, 2021-05-05 07:30:09, -93,        1, 74:B5:7E:B3:32:B8,
DA:A1:19:34:E4:98, 2021-05-05 07:29:21, 2021-05-05 07:29:21, -48,        1, (not associated) ,
DA:A1:19:C9:79:64, 2021-05-05 07:29:21, 2021-05-05 07:29:21, -48,        1, (not associated) ,
CC:6E:A4:32:50:F8, 2021-05-05 07:29:26, 2021-05-05 07:29:26, -87,        1, 74:B5:7E:B3:32:B8,
DA:A1:19:5D:D8:C3, 2021-05-05 07:30:03, 2021-05-05 07:30:03, -63,        1, (not associated) ,
DA:A1:19:E5:29:DD, 2021-05-05 07:30:03, 2021-05-05 07:30:03, -57,        1, (not associated) ,
DA:A1:19:50:26:DA, 2021-05-05 07:30:02, 2021-05-05 07:30:02, -56,        1, (not associated) ,
DA:A1:19:C4:D1:BC, 2021-05-05 07:30:02, 2021-05-05 07:30:02, -56,        1, (not associated) ,
DA:A1:19:D7:87:3B, 2021-05-05 07:30:02, 2021-05-05 07:30:02, -54,        1, (not associated) ,
DA:A1:19:86:CA:7E, 2021-05-05 07:30:02, 2021-05-05 07:30:02, -53,        2, (not associated) ,
74:97:81:30:CD:17, 2021-05-05 07:30:00, 2021-05-05 07:33:01, -88,        8, (not associated) ,
DA:A1:19:E2:7F:6A, 2021-05-05 07:31:25, 2021-05-05 07:31:25, -64,        1, (not associated) ,
DA:A1:19:12:1F:0A, 2021-05-05 07:31:24, 2021-05-05 07:31:24, -56,        1, (not associated) ,
00:08:22:3A:47:E2, 2021-05-05 07:32:44, 2021-05-05 07:32:44, -93,        7, 74:B5:7E:B3:32:B8,
98:E7:9A:80:6D:97, 2021-05-05 07:28:48, 2021-05-05 07:32:53, -73,       21, 36:97:F6:C7:0C:DC,
DA:A1:19:7B:18:CC, 2021-05-05 07:32:46, 2021-05-05 07:32:46, -48,        1, (not associated) ,
DA:A1:19:FB:08:BC, 2021-05-05 07:32:46, 2021-05-05 07:32:46, -48,        1, (not associated) ,
DA:A1:19:BC:59:0D, 2021-05-05 07:32:45, 2021-05-05 07:32:45, -47,        2, (not associated) ,
DA:A1:19:A5:E9:9D, 2021-05-05 07:32:46, 2021-05-05 07:32:46, -47,        2, (not associated) ,
DA:A1:19:1F:63:17, 2021-05-05 07:32:46, 2021-05-05 07:32:46, -46,        1, (not associated) ,
EC:0E:C4:47:D4:17, 2021-05-05 07:29:21, 2021-05-05 07:32:41, -39,       62, 36:97:F6:C7:0C:DC,
D0:F8:8C:3D:A2:AA, 2021-05-05 07:28:51, 2021-05-05 07:32:36, -37,      144, 36:97:F6:C7:0C:DC,Eira,Android_1387,PATUNGAN TAEK,PATUNGAN ANJENG

