
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
78:8A:20:2D:27:AB, 2021-05-06 15:47:01, 2021-05-06 15:47:25, 11, 195, WPA2, CCMP, PSK, -72,        1,       27,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-06 15:47:23, 2021-05-06 15:47:23,  5, 130, WPA2, CCMP, PSK, -64,        1,        0,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-06 15:47:05, 2021-05-06 15:47:25, 11, 130, WPA2, CCMP, PSK, -53,        1,        2,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
70:5E:55:2A:E0:95, 2021-05-06 15:46:58, 2021-05-06 15:47:18, -84,        2, 18:E8:29:91:AB:60,
40:5B:D8:9B:EB:DF, 2021-05-06 15:47:09, 2021-05-06 15:47:09, -83,        1, (not associated) ,
3C:B6:B7:21:97:F9, 2021-05-06 15:46:51, 2021-05-06 15:47:25, -80,        5, 20:5E:F7:B5:84:DC,
2C:D0:66:15:8C:46, 2021-05-06 15:47:18, 2021-05-06 15:47:18, -73,        2, 18:E8:29:91:AB:60,
B0:68:E6:61:B7:9B, 2021-05-06 15:46:58, 2021-05-06 15:46:58, -70,        1, 18:E8:29:91:AB:60,
B0:E2:35:91:DE:42, 2021-05-06 15:47:18, 2021-05-06 15:47:18, -69,        3, (not associated) ,ACT-FOUNDATION
68:BF:C4:01:C2:3C, 2021-05-06 15:47:18, 2021-05-06 15:47:18, -67,        2, 1A:E8:29:91:AB:60,
CA:7C:AC:93:E5:8B, 2021-05-06 15:47:18, 2021-05-06 15:47:18, -56,        1, 18:E8:29:91:AB:60,
00:23:14:E8:8B:44, 2021-05-06 15:46:58, 2021-05-06 15:47:14, -54,        9, (not associated) ,PHYcareline
40:B0:76:67:4E:78, 2021-05-06 15:46:58, 2021-05-06 15:46:58, -49,        1, 18:E8:29:91:AB:60,
E0:1F:88:4C:57:1E, 2021-05-06 15:47:05, 2021-05-06 15:47:05,  -1,        1, F4:92:BF:AA:3C:81,
B4:A5:AC:CA:0B:19, 2021-05-06 15:47:25, 2021-05-06 15:47:25,  -1,        1, F4:92:BF:AA:3C:81,

