
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-06 17:22:08, 2021-05-06 17:22:08,  9, 130, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-06 17:22:12, 2021-05-06 17:22:12, 11, 195, WPA2, CCMP, PSK, -70,        1,       16,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-06 17:22:11, 2021-05-06 17:22:11,  5, 130, WPA2, CCMP, PSK, -60,        2,      139,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-06 17:22:10, 2021-05-06 17:22:16, 11, 195, WPA2, CCMP, PSK, -54,        2,      130,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-06 17:22:12, 2021-05-06 17:22:12, 11, 130, WPA2, CCMP, PSK, -54,        1,        0,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:F5:E9:7A, 2021-05-06 17:22:01, 2021-05-06 17:22:01, -86,        1, (not associated) ,@UINJKT.AC.ID
D0:F8:8C:3D:A2:AA, 2021-05-06 17:22:11, 2021-05-06 17:22:14, -32,        4, 18:E8:29:91:AB:60,
46:0D:95:50:CC:B1, 2021-05-06 17:22:01, 2021-05-06 17:22:01, -79,        2, (not associated) ,
EA:82:A4:70:B4:4A, 2021-05-06 17:22:12, 2021-05-06 17:22:12, -74,        1, 18:E8:29:91:AB:60,
C0:87:EB:D6:99:BF, 2021-05-06 17:22:12, 2021-05-06 17:22:14, -79,       34, 18:E8:29:91:AB:60,
70:DD:A8:57:1D:60, 2021-05-06 17:22:10, 2021-05-06 17:22:16, -85,       92, 18:E8:29:91:AB:60,
2C:D0:66:0F:7E:78, 2021-05-06 17:22:02, 2021-05-06 17:22:12, -67,        6, 18:E8:29:91:AB:60,
96:E7:2E:54:AA:5A, 2021-05-06 17:22:10, 2021-05-06 17:22:10, -58,       14, 7A:8A:20:2D:27:AB,
06:C8:07:47:02:E1, 2021-05-06 17:22:05, 2021-05-06 17:22:06, -53,        5, (not associated) ,
20:47:DA:15:4F:99, 2021-05-06 17:22:11, 2021-05-06 17:22:11,  -1,      122, F4:92:BF:AA:4B:35,
4C:6F:9C:78:AD:D3, 2021-05-06 17:22:11, 2021-05-06 17:22:11,  -1,       17, F4:92:BF:AA:4B:35,
34:E9:11:15:B6:89, 2021-05-06 17:22:12, 2021-05-06 17:22:12,  -1,        8, 18:E8:29:91:AB:60,
F0:0F:EC:F7:5D:F0, 2021-05-06 17:22:12, 2021-05-06 17:22:12,  -1,        2, 78:8A:20:2D:27:AB,
34:E9:11:0B:11:1F, 2021-05-06 17:22:13, 2021-05-06 17:22:13, -76,        1, (not associated) ,
4E:59:37:F7:0C:24, 2021-05-06 17:22:13, 2021-05-06 17:22:14, -74,        2, 18:E8:29:91:AB:60,
E0:D4:64:CC:07:45, 2021-05-06 17:22:14, 2021-05-06 17:22:14, -84,        2, (not associated) ,PHYcareline
B6:8A:44:D5:48:BF, 2021-05-06 17:22:15, 2021-05-06 17:22:15, -82,        3, (not associated) ,
8C:55:4A:1D:41:A1, 2021-05-06 17:22:18, 2021-05-06 17:22:18, -80,        2, (not associated) ,
00:0C:E7:AD:58:8A, 2021-05-06 17:22:18, 2021-05-06 17:22:18, -90,        1, (not associated) ,

