
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:24:BD:08:39:00, 2021-05-06 17:40:16, 2021-05-06 17:40:57,  1, 130, WPA2, CCMP, MGT, -83,        6,        0,   0.  0.  0.  0,  13, scania*office, 
D2:F8:8C:3D:A2:AA, 2021-05-06 17:41:04, 2021-05-06 17:41:06,  6,  65, WPA2, CCMP, PSK, -32,        3,        0,   0.  0.  0.  0,  13, scania*office, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:54:25:46, 2021-05-06 17:40:17, 2021-05-06 17:40:17, -88,        2, (not associated) ,cinta Allah
C8:3D:DC:D5:50:6C, 2021-05-06 17:40:15, 2021-05-06 17:40:31, -87,        3, 18:E8:29:91:AB:60,
28:3A:4D:08:90:4F, 2021-05-06 17:40:46, 2021-05-06 17:40:46, -87,        2, (not associated) ,
D8:CE:3A:38:B0:D7, 2021-05-06 17:40:31, 2021-05-06 17:40:31, -84,        1, 78:8A:20:2D:27:AB,
0C:98:38:5F:1F:AD, 2021-05-06 17:40:54, 2021-05-06 17:40:54, -84,       12, 78:8A:20:2D:27:AB,
DC:F5:05:74:C0:5D, 2021-05-06 17:41:00, 2021-05-06 17:41:00, -83,        1, 28:41:C6:49:63:08,
00:24:D7:52:EC:94, 2021-05-06 17:40:55, 2021-05-06 17:40:55, -82,        2, (not associated) ,
CA:11:7B:F3:9B:E2, 2021-05-06 17:40:53, 2021-05-06 17:40:53, -81,        1, F4:92:BF:AA:4B:35,
D8:CE:3A:5A:D1:5D, 2021-05-06 17:40:32, 2021-05-06 17:40:32, -80,        1, (not associated) ,
70:5E:55:2A:E0:95, 2021-05-06 17:40:37, 2021-05-06 17:40:37, -79,        1, F4:92:BF:AA:4B:35,
2C:5D:34:EF:35:B5, 2021-05-06 17:40:54, 2021-05-06 17:41:07, -73,       71, 18:E8:29:91:AB:60,
DA:A1:19:35:53:6A, 2021-05-06 17:40:35, 2021-05-06 17:40:36, -78,        9, (not associated) ,
2C:5D:34:F1:6F:21, 2021-05-06 17:40:40, 2021-05-06 17:40:40, -78,        1, 78:8A:20:2D:27:AB,
EA:82:A4:70:B4:4A, 2021-05-06 17:40:26, 2021-05-06 17:40:38, -77,        8, (not associated) ,PHYcareline
02:01:00:46:98:01, 2021-05-06 17:40:40, 2021-05-06 17:40:40, -77,        1, F4:92:BF:AA:3C:81,
70:3E:AC:95:D4:06, 2021-05-06 17:40:54, 2021-05-06 17:40:56, -77,        3, 18:E8:29:91:AB:60,
98:C8:B8:AE:77:53, 2021-05-06 17:40:34, 2021-05-06 17:41:00, -76,        3, 28:41:C6:49:63:08,
B2:D1:FE:DC:7D:EA, 2021-05-06 17:40:40, 2021-05-06 17:41:07, -83,        7, 78:8A:20:2D:27:AB,
4C:49:E3:2B:92:17, 2021-05-06 17:40:26, 2021-05-06 17:41:07, -69,       58, 78:8A:20:2D:27:AB,
38:A4:ED:66:F4:53, 2021-05-06 17:40:43, 2021-05-06 17:40:43, -71,        2, (not associated) ,
96:E7:2E:54:AA:5A, 2021-05-06 17:40:28, 2021-05-06 17:41:05, -65,        2, 7A:8A:20:2D:27:AB,
D0:9C:7A:17:5A:E2, 2021-05-06 17:40:42, 2021-05-06 17:41:05, -66,        7, 18:E8:29:91:AB:60,
FA:24:2A:FA:F9:B4, 2021-05-06 17:40:25, 2021-05-06 17:40:25, -65,        3, (not associated) ,
94:87:E0:56:52:B0, 2021-05-06 17:40:20, 2021-05-06 17:40:37, -60,       15, F6:92:BF:9A:4B:35,Tenda_ED4330
40:B0:76:67:4E:78, 2021-05-06 17:40:27, 2021-05-06 17:40:56, -51,        4, 18:E8:29:91:AB:60,
D0:F8:8C:3D:A2:AA, 2021-05-06 17:40:21, 2021-05-06 17:40:28, -34,       17, 18:E8:29:91:AB:60,Android_1387,PATUNGAN TAEK,PATUNGAN ANJENG,Eira
0C:98:38:A6:0F:47, 2021-05-06 17:40:27, 2021-05-06 17:40:27,  -1,       43, F4:92:BF:AA:3C:81,
D0:9C:7A:17:AC:7A, 2021-05-06 17:40:46, 2021-05-06 17:40:46,  -1,        1, FC:A6:CD:31:9F:B0,
B0:72:BF:3F:A9:D5, 2021-05-06 17:40:46, 2021-05-06 17:40:46,  -1,        1, FC:A6:CD:31:9F:B0,
80:2B:F9:E5:00:35, 2021-05-06 17:41:04, 2021-05-06 17:41:04, -84,        1, F4:92:BF:AA:4B:35,
92:48:EE:66:57:7F, 2021-05-06 17:41:06, 2021-05-06 17:41:06,  -1,        4, F4:92:BF:AA:4B:35,
F8:32:E4:7A:17:8A, 2021-05-06 17:41:06, 2021-05-06 17:41:06, -74,        1, F4:92:BF:AA:4B:35,
34:E9:11:15:B6:89, 2021-05-06 17:41:07, 2021-05-06 17:41:07, -76,        1, 18:E8:29:91:AB:60,
2A:02:D8:58:6C:58, 2021-05-06 17:41:07, 2021-05-06 17:41:07, -80,        2, (not associated) ,
C6:E1:A1:A2:A2:9D, 2021-05-06 17:41:07, 2021-05-06 17:41:07, -85,        2, (not associated) ,

