
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
28:41:C6:49:63:08, 2021-05-06 17:41:44, 2021-05-06 17:42:14,  2, 130, WPA, CCMP TKIP, PSK, -78,        6,        0,   0.  0.  0.  0,  13, Chatra Global, 
D2:F8:8C:3D:A2:AA, 2021-05-06 17:42:18, 2021-05-06 17:42:20,  6,  65, WPA2, CCMP, PSK, -31,        5,        0,   0.  0.  0.  0,  13, Chatra Global, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
52:36:CE:6C:0C:85, 2021-05-06 17:41:43, 2021-05-06 17:41:43, -85,        1, (not associated) ,
80:2B:F9:E4:F4:43, 2021-05-06 17:41:52, 2021-05-06 17:42:19, -85,        3, F6:92:BF:9A:41:2D,
D8:CE:3A:38:B0:D7, 2021-05-06 17:41:52, 2021-05-06 17:42:17, -82,        6, 78:8A:20:2D:27:AB,
DA:A1:19:D0:E7:21, 2021-05-06 17:42:12, 2021-05-06 17:42:12, -85,        1, (not associated) ,PHYcareline
DC:F5:05:74:C0:5D, 2021-05-06 17:41:58, 2021-05-06 17:41:58, -84,        1, 28:41:C6:49:63:08,
28:3A:4D:08:90:4F, 2021-05-06 17:41:46, 2021-05-06 17:41:46, -83,        2, (not associated) ,
80:2B:F9:E5:00:35, 2021-05-06 17:41:51, 2021-05-06 17:41:51, -83,        2, F4:92:BF:AA:4B:35,
84:6F:CE:0E:3C:59, 2021-05-06 17:41:50, 2021-05-06 17:41:50, -82,        1, F6:92:BF:9A:4B:35,
00:24:D7:52:EC:94, 2021-05-06 17:42:03, 2021-05-06 17:42:03, -80,        2, (not associated) ,PHYcareline
98:C8:B8:AE:77:53, 2021-05-06 17:42:00, 2021-05-06 17:42:14, -80,        2, 28:41:C6:49:63:08,
02:01:00:46:98:01, 2021-05-06 17:41:54, 2021-05-06 17:41:54, -79,        1, F4:92:BF:AA:3C:81,
DA:A1:19:8A:C6:9F, 2021-05-06 17:42:00, 2021-05-06 17:42:00, -78,       14, (not associated) ,kami aja
7E:2A:DB:36:E5:A6, 2021-05-06 17:42:01, 2021-05-06 17:42:01, -78,        2, (not associated) ,
DA:A1:19:0F:FB:CA, 2021-05-06 17:42:03, 2021-05-06 17:42:03, -78,        1, (not associated) ,PHYcareline
DA:A1:19:DA:DC:91, 2021-05-06 17:42:03, 2021-05-06 17:42:03, -76,        1, (not associated) ,PHYcareline
B8:C7:4A:9F:B8:41, 2021-05-06 17:41:43, 2021-05-06 17:42:21, -71,      219, 18:E8:29:91:AB:60,
4C:49:E3:2B:92:17, 2021-05-06 17:42:07, 2021-05-06 17:42:07, -75,        1, 78:8A:20:2D:27:AB,
DA:A1:19:A8:D2:5A, 2021-05-06 17:41:50, 2021-05-06 17:41:52, -73,        7, (not associated) ,Vivo
DA:A1:19:54:35:EF, 2021-05-06 17:42:06, 2021-05-06 17:42:06, -72,       44, (not associated) ,HCL Room,fh_accb20,titiklimakopi
C8:3D:DC:D5:50:6C, 2021-05-06 17:41:40, 2021-05-06 17:41:40, -70,        2, 18:E8:29:91:AB:60,
94:87:E0:7A:76:D3, 2021-05-06 17:41:50, 2021-05-06 17:41:50, -69,        1, 18:E8:29:91:AB:60,
94:87:E0:56:52:B0, 2021-05-06 17:41:42, 2021-05-06 17:42:18, -62,       17, F6:92:BF:9A:4B:35,Tenda_ED4330
96:E7:2E:54:AA:5A, 2021-05-06 17:42:07, 2021-05-06 17:42:21, -60,        2, 7A:8A:20:2D:27:AB,
DA:A1:19:B2:DA:85, 2021-05-06 17:41:40, 2021-05-06 17:41:40, -63,        4, (not associated) ,
D0:9C:7A:05:4A:58, 2021-05-06 17:42:04, 2021-05-06 17:42:06, -62,       14, F4:92:BF:AA:4B:35,PHYcareline,Mandiri 123
68:BF:C4:01:C2:3C, 2021-05-06 17:42:04, 2021-05-06 17:42:04, -60,        9, F6:92:BF:9A:4B:35,
40:B0:76:67:4E:78, 2021-05-06 17:41:40, 2021-05-06 17:42:19, -55,       27, 18:E8:29:91:AB:60,
2C:5D:34:F1:6F:21, 2021-05-06 17:42:19, 2021-05-06 17:42:19, -77,       14, 78:8A:20:2D:27:AB,
0E:2A:2B:D1:5E:E7, 2021-05-06 17:42:20, 2021-05-06 17:42:20, -84,        2, (not associated) ,

