
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:3C:81, 2021-05-08 08:16:30, 2021-05-08 08:18:02, 11, 130, WPA2, CCMP, PSK, -71,        9,        0,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:40:A1, 2021-05-08 08:16:25, 2021-05-08 08:17:54,  9, 130, WPA2, CCMP, PSK, -86,        6,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-08 08:16:29, 2021-05-08 08:17:54, 11, 195, WPA2, CCMP, PSK, -82,        4,        5,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-08 08:16:27, 2021-05-08 08:17:58,  5, 130, WPA2, CCMP, PSK, -71,       17,      473,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-08 08:16:28, 2021-05-08 08:18:02, 11, 195, WPA2, CCMP, PSK, -61,        8,      252,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
58:7A:6A:7A:D0:9B, 2021-05-08 08:16:56, 2021-05-08 08:16:56, -74,        1, 18:E8:29:91:AB:60,
DA:A1:19:27:C8:36, 2021-05-08 08:16:55, 2021-05-08 08:16:55, -79,        2, (not associated) ,Fanazalma
70:DD:A8:57:1D:60, 2021-05-08 08:16:41, 2021-05-08 08:16:59, -83,        2, 18:E8:29:91:AB:60,
1A:59:88:E5:E8:6D, 2021-05-08 08:16:30, 2021-05-08 08:16:56, -84,      166, 18:E8:29:91:AB:60,
D8:CE:3A:38:B0:D7, 2021-05-08 08:16:43, 2021-05-08 08:16:43, -91,        1, F4:92:BF:AA:3C:81,
02:42:07:E9:67:7E, 2021-05-08 08:16:35, 2021-05-08 08:16:36, -80,        8, (not associated) ,mahasiswa
6E:7D:04:77:24:BB, 2021-05-08 08:16:33, 2021-05-08 08:16:33, -80,        1, (not associated) ,
7C:2A:DB:B7:28:60, 2021-05-08 08:16:19, 2021-05-08 08:16:19, -91,        1, (not associated) ,
BE:B4:57:46:5D:AA, 2021-05-08 08:16:30, 2021-05-08 08:16:30, -88,        5, F4:92:BF:AA:3C:81,
44:03:2C:DE:44:E1, 2021-05-08 08:16:29, 2021-05-08 08:16:30, -87,        2, 78:8A:20:2D:27:AB,
50:29:F5:DF:F3:1F, 2021-05-08 08:16:30, 2021-05-08 08:16:30, -87,        1, 18:E8:29:91:AB:60,
3A:8A:BE:EF:8C:8B, 2021-05-08 08:16:27, 2021-05-08 08:16:27, -80,        3, (not associated) ,
FE:FD:86:9F:F0:BC, 2021-05-08 08:16:24, 2021-05-08 08:16:25, -77,        5, (not associated) ,
00:EC:0A:BF:D3:B2, 2021-05-08 08:16:30, 2021-05-08 08:16:30, -74,        5, 18:E8:29:91:AB:60,
50:3C:EA:34:86:B5, 2021-05-08 08:16:52, 2021-05-08 08:16:52, -94,        2, (not associated) ,
B4:A5:AC:B6:AC:59, 2021-05-08 08:16:38, 2021-05-08 08:17:58, -93,        4, F4:92:BF:AA:4B:35,
C0:87:EB:D6:99:BF, 2021-05-08 08:17:32, 2021-05-08 08:17:32, -88,        5, F4:92:BF:AA:4B:35,
72:3B:84:F0:07:8A, 2021-05-08 08:16:41, 2021-05-08 08:17:51, -87,       13, F4:92:BF:AA:4B:35,PHYcareline
3A:4E:DD:18:88:45, 2021-05-08 08:17:12, 2021-05-08 08:17:12, -87,        6, F4:92:BF:AA:4B:35,
36:52:19:5A:45:FA, 2021-05-08 08:17:12, 2021-05-08 08:17:52, -87,       77, F4:92:BF:AA:4B:35,
2C:5D:34:EF:35:B5, 2021-05-08 08:16:30, 2021-05-08 08:18:02, -83,       53, 18:E8:29:91:AB:60,
BE:58:83:80:75:90, 2021-05-08 08:17:12, 2021-05-08 08:17:12, -82,        1, F4:92:BF:AA:4B:35,
2C:D0:66:15:8C:46, 2021-05-08 08:16:27, 2021-05-08 08:17:52, -78,      397, F4:92:BF:AA:4B:35,
0C:98:38:65:F4:17, 2021-05-08 08:16:56, 2021-05-08 08:17:43, -74,        4, 18:E8:29:91:AB:60,
0C:98:38:2B:68:AD, 2021-05-08 08:16:30, 2021-05-08 08:17:54, -73,       20, 18:E8:29:91:AB:60,
C0:87:EB:37:8C:A3, 2021-05-08 08:17:56, 2021-05-08 08:17:56, -66,        1, (not associated) ,
40:B0:76:67:4E:78, 2021-05-08 08:16:28, 2021-05-08 08:17:15, -50,        3, 18:E8:29:91:AB:60,

