
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-08 12:48:53, 2021-05-08 12:49:07,  9, 130, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-08 12:48:58, 2021-05-08 12:49:26, 11, 195, WPA2, CCMP, PSK, -83,        5,       14,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-08 12:48:55, 2021-05-08 12:49:26, 11, 130, WPA2, CCMP, PSK, -67,        5,      232,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-08 12:48:56, 2021-05-08 12:49:25,  5, 130, WPA2, CCMP, PSK, -65,        8,       52,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-08 12:48:55, 2021-05-08 12:49:28, 11, 195, WPA2, CCMP, PSK, -62,        9,      271,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0C:98:38:7D:95:77, 2021-05-08 12:48:57, 2021-05-08 12:49:26, -96,      130, 18:E8:29:91:AB:60,
FA:AC:C1:C4:08:58, 2021-05-08 12:49:08, 2021-05-08 12:49:08, -92,        2, (not associated) ,CTI ENGINER
84:6F:CE:0E:3C:59, 2021-05-08 12:49:12, 2021-05-08 12:49:12, -92,       12, 1A:E8:29:91:AB:60,
7C:2A:DB:A6:45:AC, 2021-05-08 12:49:23, 2021-05-08 12:49:25, -89,        2, F4:92:BF:AA:4B:35,
4C:49:E3:58:A5:0C, 2021-05-08 12:49:12, 2021-05-08 12:49:26, -87,      232, F4:92:BF:AA:3C:81,
7E:45:81:14:7B:1B, 2021-05-08 12:49:25, 2021-05-08 12:49:25, -85,        7, F6:92:BF:9A:4B:35,
4C:49:E3:2B:92:17, 2021-05-08 12:48:51, 2021-05-08 12:48:51, -84,        1, (not associated) ,
EA:4C:AD:FE:FF:19, 2021-05-08 12:48:54, 2021-05-08 12:49:25, -83,       14, F6:92:BF:9A:4B:35,
00:EC:0A:BF:D3:B2, 2021-05-08 12:49:12, 2021-05-08 12:49:12, -83,        1, 18:E8:29:91:AB:60,
BA:59:0D:03:64:9F, 2021-05-08 12:48:55, 2021-05-08 12:49:24, -83,        5, 18:E8:29:91:AB:60,
BE:58:83:80:75:90, 2021-05-08 12:49:12, 2021-05-08 12:49:12, -82,        1, 18:E8:29:91:AB:60,
0C:98:38:65:F4:17, 2021-05-08 12:49:13, 2021-05-08 12:49:13, -80,        1, 18:E8:29:91:AB:60,
4E:59:37:F7:0C:24, 2021-05-08 12:48:58, 2021-05-08 12:49:25, -79,       14, F4:92:BF:AA:4B:35,
70:DD:A8:57:1D:60, 2021-05-08 12:48:56, 2021-05-08 12:49:25, -79,       24, F4:92:BF:AA:4B:35,
7C:2A:DB:BA:10:04, 2021-05-08 12:49:24, 2021-05-08 12:49:24, -77,        9, 18:E8:29:91:AB:60,
3C:B6:B7:3B:FF:FF, 2021-05-08 12:49:26, 2021-05-08 12:49:26, -70,        5, (not associated) ,
96:E7:2E:54:AA:5A, 2021-05-08 12:48:55, 2021-05-08 12:49:31, -78,       11, 1A:E8:29:91:AB:60,
A2:5F:91:E0:C6:9C, 2021-05-08 12:49:23, 2021-05-08 12:49:25, -67,        9, F4:92:BF:AA:4B:35,
68:BF:C4:01:C2:3C, 2021-05-08 12:48:55, 2021-05-08 12:48:58, -64,        4, F6:92:BF:9A:3C:81,
0C:98:38:2B:68:AD, 2021-05-08 12:48:57, 2021-05-08 12:49:26, -64,      127, 18:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-08 12:48:55, 2021-05-08 12:49:30, -54,        7, F4:92:BF:AA:3C:81,
C2:AC:A3:6C:35:0E, 2021-05-08 12:48:57, 2021-05-08 12:49:00, -53,        6, 18:E8:29:91:AB:60,
40:B0:76:67:4E:78, 2021-05-08 12:49:09, 2021-05-08 12:49:28, -52,        2, 18:E8:29:91:AB:60,
20:47:DA:15:4F:99, 2021-05-08 12:48:55, 2021-05-08 12:48:55,  -1,        1, 18:E8:29:91:AB:60,
B4:A5:AC:B6:AC:59, 2021-05-08 12:49:25, 2021-05-08 12:49:25,  -1,        3, F4:92:BF:AA:4B:35,
E4:C4:83:47:18:69, 2021-05-08 12:49:25, 2021-05-08 12:49:25,  -1,       40, F4:92:BF:AA:4B:35,

