
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B6:77:BD:B5:93:F2, 2021-05-09 13:02:54, 2021-05-09 13:03:12,  1, 180, WPA2, CCMP, PSK, -73,       12,        2,   0.  0.  0.  0,   8, vivo X50, 
D2:F8:8C:3D:A2:AA, 2021-05-09 13:03:13, 2021-05-09 13:03:13,  6,  65, OPN, ,   , -57,        1,        0,   0.  0.  0.  0,   8, vivo X50, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:7F:98:C4:23:AB, 2021-05-09 13:02:53, 2021-05-09 13:03:05, -86,      329, 18:E8:29:91:AB:60,
68:BF:C4:01:C2:3C, 2021-05-09 13:03:07, 2021-05-09 13:03:11, -86,        5, 1A:E8:29:91:AB:60,
DA:A1:19:A8:3E:F9, 2021-05-09 13:02:59, 2021-05-09 13:02:59, -82,        2, (not associated) ,
62:20:07:40:AC:8E, 2021-05-09 13:03:11, 2021-05-09 13:03:18, -70,        3, 18:E8:29:91:AB:60,
40:B0:76:67:4E:78, 2021-05-09 13:02:55, 2021-05-09 13:02:55, -75,        1, 18:E8:29:91:AB:60,
96:E7:2E:54:AA:5A, 2021-05-09 13:03:07, 2021-05-09 13:03:08, -73,        2, 1A:E8:29:91:AB:60,
4E:CD:DB:F0:0B:B2, 2021-05-09 13:03:05, 2021-05-09 13:03:07, -70,        6, F4:92:BF:AA:3C:81,
94:87:E0:56:52:B0, 2021-05-09 13:03:12, 2021-05-09 13:03:12, -65,        3, B6:77:BD:B5:93:F2,
38:A4:ED:66:F4:53, 2021-05-09 13:02:59, 2021-05-09 13:02:59, -64,       10, (not associated) ,MFA2,BUSTAMIN ADICOMPTER,Garaga
D2:F8:8C:3D:A2:AA, 2021-05-09 13:02:55, 2021-05-09 13:02:55, -47,        4, (not associated) ,
58:C6:F0:40:5F:BB, 2021-05-09 13:02:53, 2021-05-09 13:03:05,  -1,      118, 18:E8:29:91:AB:60,
B0:E2:35:91:DE:42, 2021-05-09 13:03:05, 2021-05-09 13:03:05,   0,      207, 18:E8:29:91:AB:60,
4E:59:37:F7:0C:24, 2021-05-09 13:03:18, 2021-05-09 13:03:19, -81,        5, 18:E8:29:91:AB:60,
EA:82:A4:70:B4:4A, 2021-05-09 13:03:18, 2021-05-09 13:03:18, -80,        1, 18:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-09 13:03:19, 2021-05-09 13:03:19, -72,        2, F4:92:BF:AA:4B:35,

