
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F6:92:BF:9A:40:A1, 2021-05-09 13:04:40, 2021-05-09 13:04:41,  9, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
1A:E8:29:91:AB:60, 2021-05-09 13:04:43, 2021-05-09 13:04:47, 11, 195, WPA2, CCMP, PSK, -63,        2,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:4B:35, 2021-05-09 13:04:44, 2021-05-09 13:04:44,  5, 130, WPA2, CCMP, PSK, -69,        3,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
7A:8A:20:2D:27:AB, 2021-05-09 13:04:45, 2021-05-09 13:04:45, 11, 195, WPA2, CCMP, PSK, -78,        3,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:3C:81, 2021-05-09 13:04:45, 2021-05-09 13:04:45, 11, 130, WPA2, CCMP, PSK, -62,        2,        0,   0.  0.  0.  0,  14, PHYcoordinator, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
72:3B:84:F0:07:8A, 2021-05-09 13:04:41, 2021-05-09 13:04:42, -85,        4, F4:92:BF:AA:4B:35,
2C:D0:66:0F:7E:78, 2021-05-09 13:04:39, 2021-05-09 13:04:39, -83,        2, (not associated) ,
D8:CE:3A:5A:D1:5D, 2021-05-09 13:04:39, 2021-05-09 13:04:39, -82,        2, (not associated) ,
96:E7:2E:54:AA:5A, 2021-05-09 13:04:43, 2021-05-09 13:04:43, -72,        1, 1A:E8:29:91:AB:60,
20:47:DA:39:1F:EF, 2021-05-09 13:04:33, 2021-05-09 13:04:33, -68,        1, B6:77:BD:B5:93:F2,
40:B0:76:67:4E:78, 2021-05-09 13:04:40, 2021-05-09 13:04:44, -66,        6, 18:E8:29:91:AB:60,maju0987
7C:2A:DB:C0:01:4A, 2021-05-09 13:04:40, 2021-05-09 13:04:40,  -1,        5, F4:92:BF:AA:40:A1,
CC:2D:83:97:87:E5, 2021-05-09 13:04:45, 2021-05-09 13:04:45,  -1,        2, 18:E8:29:91:AB:60,
4E:CD:DB:F0:0B:B2, 2021-05-09 13:04:45, 2021-05-09 13:04:45, -76,       16, F4:92:BF:AA:3C:81,
B0:E2:35:91:DE:42, 2021-05-09 13:04:45, 2021-05-09 13:04:45, -65,       21, 18:E8:29:91:AB:60,
DA:A1:19:56:CA:51, 2021-05-09 13:04:46, 2021-05-09 13:04:46, -68,       23, (not associated) ,titiklimakopi,HCL Room,fh_accb20
68:BF:C4:01:C2:3C, 2021-05-09 13:04:47, 2021-05-09 13:04:47, -76,        4, 1A:E8:29:91:AB:60,
08:7F:98:C4:23:AB, 2021-05-09 13:04:47, 2021-05-09 13:04:47, -81,        1, 18:E8:29:91:AB:60,
FA:24:2A:FA:F9:B4, 2021-05-09 13:04:47, 2021-05-09 13:04:47, -83,        2, 18:E8:29:91:AB:60,

