
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-09 13:11:24, 2021-05-09 13:11:24,  9, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-09 13:11:13, 2021-05-09 13:11:29, 11, 195, WPA2, CCMP, PSK, -82,        3,       87,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-09 13:11:12, 2021-05-09 13:11:28,  5, 130, WPA2, CCMP, PSK, -75,        5,        2,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-09 13:11:11, 2021-05-09 13:11:31, 11, 130, WPA2, CCMP, PSK, -69,        6,        1,   0.  0.  0.  0,  11, PHYcareline, 
D2:F8:8C:3D:A2:AA, 2021-05-09 13:11:30, 2021-05-09 13:11:33,  6,  65, OPN, ,   , -60,        6,        0,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-09 13:11:04, 2021-05-09 13:11:31, 11, 195, WPA2, CCMP, PSK, -59,        5,      148,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:0A:A5:9A, 2021-05-09 13:11:06, 2021-05-09 13:11:06, -93,        1, (not associated) ,
A4:D9:90:C4:22:E7, 2021-05-09 13:11:12, 2021-05-09 13:11:12, -92,        1, F4:92:BF:AA:4B:35,
9C:30:5B:F1:C1:D7, 2021-05-09 13:11:17, 2021-05-09 13:11:17, -91,        1, (not associated) ,
CC:2D:83:97:87:E5, 2021-05-09 13:11:12, 2021-05-09 13:11:12, -88,        1, F4:92:BF:AA:4B:35,
4E:CD:DB:F0:0B:B2, 2021-05-09 13:11:11, 2021-05-09 13:11:31, -86,        8, F4:92:BF:AA:3C:81,
6E:7C:EB:5A:A8:CC, 2021-05-09 13:11:13, 2021-05-09 13:11:29, -87,       26, 18:E8:29:91:AB:60,
70:DD:A8:57:1D:60, 2021-05-09 13:11:14, 2021-05-09 13:11:14, -87,        2, 18:E8:29:91:AB:60,
02:44:5A:0C:BB:0E, 2021-05-09 13:11:13, 2021-05-09 13:11:16, -86,        4, 7A:8A:20:2D:27:AB,
C0:87:EB:D6:99:BF, 2021-05-09 13:11:28, 2021-05-09 13:11:28, -85,        1, F4:92:BF:AA:4B:35,
B0:E2:35:91:DE:42, 2021-05-09 13:11:20, 2021-05-09 13:11:29, -83,       11, 18:E8:29:91:AB:60,ACT-FOUNDATION
2C:5D:34:EF:35:B5, 2021-05-09 13:11:13, 2021-05-09 13:11:29, -82,       16, 18:E8:29:91:AB:60,
C2:EE:8B:3E:8A:4F, 2021-05-09 13:11:14, 2021-05-09 13:11:29, -82,        4, 18:E8:29:91:AB:60,
3E:21:ED:1D:59:D4, 2021-05-09 13:11:04, 2021-05-09 13:11:04, -80,        3, 18:E8:29:91:AB:60,
DA:A1:19:27:AC:FF, 2021-05-09 13:11:07, 2021-05-09 13:11:07, -80,       11, (not associated) ,
94:87:E0:7A:76:D3, 2021-05-09 13:11:08, 2021-05-09 13:11:08, -80,        1, (not associated) ,
1A:59:88:E5:E8:6D, 2021-05-09 13:11:13, 2021-05-09 13:11:31, -76,       31, 18:E8:29:91:AB:60,
EA:82:A4:70:B4:4A, 2021-05-09 13:11:09, 2021-05-09 13:11:31, -75,        8, 18:E8:29:91:AB:60,
DA:A1:19:32:CB:ED, 2021-05-09 13:11:10, 2021-05-09 13:11:10, -75,        3, (not associated) ,
0C:98:38:65:F4:17, 2021-05-09 13:11:13, 2021-05-09 13:11:14, -74,        3, 18:E8:29:91:AB:60,
FA:24:2A:FA:F9:B4, 2021-05-09 13:11:11, 2021-05-09 13:11:16, -73,        5, 18:E8:29:91:AB:60,
96:E7:2E:54:AA:5A, 2021-05-09 13:11:13, 2021-05-09 13:11:14, -73,        6, 1A:E8:29:91:AB:60,
40:B0:76:67:4E:78, 2021-05-09 13:11:15, 2021-05-09 13:11:15, -73,        1, (not associated) ,
58:7A:6A:7A:D0:9B, 2021-05-09 13:11:12, 2021-05-09 13:11:28, -72,        9, F4:92:BF:AA:4B:35,
68:BF:C4:01:C2:3C, 2021-05-09 13:11:10, 2021-05-09 13:11:30, -71,       20, F6:92:BF:9A:4B:35,
D0:C5:D3:D7:95:3D, 2021-05-09 13:11:13, 2021-05-09 13:11:13,  -1,        5, 18:E8:29:91:AB:60,
84:6F:CE:0E:3C:59, 2021-05-09 13:11:14, 2021-05-09 13:11:29,  -1,       14, 1A:E8:29:91:AB:60,
D2:0C:AC:A3:87:03, 2021-05-09 13:11:31, 2021-05-09 13:11:31, -89,        1, (not associated) ,
DA:A1:19:22:23:8A, 2021-05-09 13:11:32, 2021-05-09 13:11:32, -66,        1, (not associated) ,
B6:F7:62:D9:AB:35, 2021-05-09 13:11:33, 2021-05-09 13:11:33, -79,        3, (not associated) ,
DA:A1:19:8C:B2:82, 2021-05-09 13:11:36, 2021-05-09 13:11:36, -77,        1, (not associated) ,

