
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-10 17:35:07, 2021-05-10 17:35:07,  9, 130, WPA2, CCMP, PSK, -89,        0,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-10 17:34:59, 2021-05-10 17:35:26, 11, 195, WPA2, CCMP, PSK, -82,        4,      205,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-10 17:35:09, 2021-05-10 17:35:23,  5, 130, WPA2, CCMP, PSK, -68,        5,        0,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-10 17:34:59, 2021-05-10 17:35:24, 11, 130, WPA2, CCMP, PSK, -63,        6,        0,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-10 17:34:59, 2021-05-10 17:35:25, 11, 195, WPA2, CCMP, PSK, -61,        7,      167,   0.  0.  0.  0,  11, PHYcareline, 
D2:F8:8C:3D:A2:AA, 2021-05-10 17:35:23, 2021-05-10 17:35:28,  6,  65, OPN, ,   , -57,        7,        0,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
4C:6F:9C:78:AD:D3, 2021-05-10 17:34:59, 2021-05-10 17:34:59, -92,        3, 18:E8:29:91:AB:60,
BE:36:6D:BB:CA:DF, 2021-05-10 17:35:13, 2021-05-10 17:35:13, -91,        1, 28:41:C6:49:63:08,
BE:B4:57:46:5D:AA, 2021-05-10 17:35:12, 2021-05-10 17:35:12, -90,        1, F4:92:BF:AA:3C:81,
6A:BF:C4:BE:A5:B6, 2021-05-10 17:35:05, 2021-05-10 17:35:05, -89,        2, (not associated) ,
98:C8:B8:AE:77:53, 2021-05-10 17:35:13, 2021-05-10 17:35:13, -89,        3, 28:41:C6:49:63:08,
DA:A1:19:06:4A:FE, 2021-05-10 17:35:07, 2021-05-10 17:35:07, -88,        2, (not associated) ,
C0:87:EB:D6:99:BF, 2021-05-10 17:35:16, 2021-05-10 17:35:16, -88,        6, (not associated) ,android
2C:5D:34:EF:35:B5, 2021-05-10 17:35:24, 2021-05-10 17:35:24, -86,        1, 18:E8:29:91:AB:60,
D8:CE:3A:38:B0:D7, 2021-05-10 17:35:25, 2021-05-10 17:35:26, -83,        2, 78:8A:20:2D:27:AB,
0C:98:38:A6:0F:47, 2021-05-10 17:35:24, 2021-05-10 17:35:24, -82,        4, 18:E8:29:91:AB:60,
70:5E:55:A6:DD:59, 2021-05-10 17:35:25, 2021-05-10 17:35:25, -82,        1, 78:8A:20:2D:27:AB,
28:3A:4D:18:FD:87, 2021-05-10 17:35:03, 2021-05-10 17:35:03, -81,        1, (not associated) ,
A8:BE:27:35:F2:73, 2021-05-10 17:35:03, 2021-05-10 17:35:03, -81,       11, 18:E8:29:92:AB:60,PHYcareline
38:A4:ED:66:F4:53, 2021-05-10 17:35:02, 2021-05-10 17:35:29, -80,        8, 1A:E8:29:91:AB:60,husen212
70:3E:AC:95:D4:06, 2021-05-10 17:34:59, 2021-05-10 17:35:10, -80,        5, 18:E8:29:91:AB:60,
1A:59:88:E5:E8:6D, 2021-05-10 17:35:21, 2021-05-10 17:35:22, -80,        5, 18:E8:29:91:AB:60,
4E:59:37:F7:0C:24, 2021-05-10 17:35:08, 2021-05-10 17:35:24, -80,        5, 18:E8:29:91:AB:60,
5E:C3:5C:59:42:5C, 2021-05-10 17:35:08, 2021-05-10 17:35:08, -79,        2, (not associated) ,
D8:CE:3A:5A:D1:5D, 2021-05-10 17:35:03, 2021-05-10 17:35:03, -78,        1, (not associated) ,
0C:98:38:29:07:5B, 2021-05-10 17:35:08, 2021-05-10 17:35:08, -78,        1, 18:E8:29:91:AB:60,
3A:E7:F7:29:47:95, 2021-05-10 17:35:12, 2021-05-10 17:35:24, -75,        4, 18:E8:29:91:AB:60,
88:D5:0C:15:B2:D0, 2021-05-10 17:35:10, 2021-05-10 17:35:10, -74,        1, 18:E8:29:91:AB:60,
7C:2A:DB:B9:5D:D2, 2021-05-10 17:35:11, 2021-05-10 17:35:11, -74,        9, (not associated) ,Nawawi 25,Devi,Resto-hp1,WAROENG MAMA
96:E7:2E:54:AA:5A, 2021-05-10 17:35:02, 2021-05-10 17:35:26, -74,       13, 1A:E8:29:91:AB:60,
68:BF:C4:01:C2:3C, 2021-05-10 17:35:06, 2021-05-10 17:35:24, -73,        2, 1A:E8:29:91:AB:60,
C0:87:EB:37:8C:A3, 2021-05-10 17:35:12, 2021-05-10 17:35:22, -72,        2, 18:E8:29:91:AB:60,
7E:45:81:14:7B:1B, 2021-05-10 17:35:09, 2021-05-10 17:35:09, -71,        5, F6:92:BF:9A:4B:35,
40:B0:76:D3:F1:1E, 2021-05-10 17:35:16, 2021-05-10 17:35:16, -69,        1, (not associated) ,BiznetWifi
9E:3F:A9:91:9D:81, 2021-05-10 17:35:10, 2021-05-10 17:35:10, -66,       43, 18:E8:29:91:AB:60,
40:B0:76:67:4E:78, 2021-05-10 17:35:25, 2021-05-10 17:35:25, -59,        3, 18:E8:29:91:AB:60,
28:02:D8:67:2D:C2, 2021-05-10 17:34:59, 2021-05-10 17:35:24,  -1,       10, 18:E8:29:91:AB:60,

