
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F6:92:BF:9A:40:A1, 2021-05-10 17:36:26, 2021-05-10 17:36:26,  9, 130, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
7A:8A:20:2D:27:AB, 2021-05-10 17:36:30, 2021-05-10 17:36:30, 11, 195, WPA2, CCMP, PSK, -81,        2,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:4B:35, 2021-05-10 17:36:29, 2021-05-10 17:36:29,  5, 130, WPA2, CCMP, PSK, -70,        3,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:3C:81, 2021-05-10 17:36:30, 2021-05-10 17:36:32, 11, 130, WPA2, CCMP, PSK, -68,        2,        1,   0.  0.  0.  0,  14, PHYcoordinator, 
1A:E8:29:91:AB:60, 2021-05-10 17:36:28, 2021-05-10 17:36:30, 11, 195, WPA2, CCMP, PSK, -56,        2,        0,   0.  0.  0.  0,  14, PHYcoordinator, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
42:76:94:D1:46:38, 2021-05-10 17:36:30, 2021-05-10 17:36:30, -94,        1, 78:8A:20:2D:27:AB,
B2:D1:FE:DC:7D:EA, 2021-05-10 17:36:28, 2021-05-10 17:36:28, -90,        1, 78:8A:20:2D:27:AB,
1A:59:88:E5:E8:6D, 2021-05-10 17:36:28, 2021-05-10 17:36:32, -84,        7, 18:E8:29:91:AB:60,
58:7A:6A:7A:D0:9B, 2021-05-10 17:36:30, 2021-05-10 17:36:30, -84,        3, 18:E8:29:91:AB:60,
7C:2A:DB:B9:5D:D2, 2021-05-10 17:36:18, 2021-05-10 17:36:18, -82,        5, (not associated) ,Nawawi 25,WAROENG MAMA,Devi,Resto-hp1
A6:01:E4:80:8A:83, 2021-05-10 17:36:33, 2021-05-10 17:36:33, -80,        4, (not associated) ,
94:87:E0:56:52:B0, 2021-05-10 17:36:20, 2021-05-10 17:36:20, -74,        1, B6:77:BD:B5:93:F2,
DA:A1:19:AF:27:7C, 2021-05-10 17:36:25, 2021-05-10 17:36:25, -73,        3, (not associated) ,
68:BF:C4:01:C2:3C, 2021-05-10 17:36:28, 2021-05-10 17:36:28, -70,        3, 1A:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-10 17:36:28, 2021-05-10 17:36:28, -70,        1, 18:E8:29:91:AB:60,
0C:98:38:29:07:5B, 2021-05-10 17:36:30, 2021-05-10 17:36:30,  -1,        2, 18:E8:29:91:AB:60,

