
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
FC:A6:CD:31:9F:B0, 2021-05-10 17:38:51, 2021-05-10 17:39:05,  2, 130, WPA2 WPA, CCMP, PSK, -92,        6,        1,   0.  0.  0.  0,  13, Euronet-Guest, 
D2:F8:8C:3D:A2:AA, 2021-05-10 17:39:11, 2021-05-10 17:39:14,  6,  65, OPN, ,   , -46,        6,        0,   0.  0.  0.  0,  13, Euronet-Guest, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BE:36:6D:BB:CA:DF, 2021-05-10 17:38:48, 2021-05-10 17:39:09, -92,        9, 28:41:C6:49:63:08,
CA:F2:6B:90:3D:9A, 2021-05-10 17:38:58, 2021-05-10 17:39:12, -89,        9, F4:92:BF:AA:4B:35,
72:00:A6:B5:9B:2C, 2021-05-10 17:39:02, 2021-05-10 17:39:02, -91,        1, 28:41:C6:49:63:08,
28:3A:4D:09:93:91, 2021-05-10 17:39:07, 2021-05-10 17:39:07, -91,        2, (not associated) ,
1A:59:88:E5:E8:6D, 2021-05-10 17:38:57, 2021-05-10 17:39:13, -86,       15, 18:E8:29:91:AB:60,
A2:5F:91:E0:C6:9C, 2021-05-10 17:38:57, 2021-05-10 17:38:57, -87,        4, F4:92:BF:AA:3C:81,
50:29:F5:DF:F3:1F, 2021-05-10 17:38:57, 2021-05-10 17:38:57, -85,        2, F4:92:BF:AA:3C:81,
DA:A1:19:0F:4E:FA, 2021-05-10 17:39:08, 2021-05-10 17:39:08, -83,        4, (not associated) ,
A4:F0:5E:7D:1A:3F, 2021-05-10 17:39:09, 2021-05-10 17:39:09, -80,        1, (not associated) ,
7E:45:81:14:7B:1B, 2021-05-10 17:38:58, 2021-05-10 17:39:14, -81,        6, F6:92:BF:9A:4B:35,
2C:D0:66:15:8C:46, 2021-05-10 17:38:50, 2021-05-10 17:39:12, -76,        6, 18:E8:29:91:AB:60,
DA:A1:19:48:F6:70, 2021-05-10 17:38:54, 2021-05-10 17:38:54, -76,        4, (not associated) ,
FA:94:69:8F:9F:BB, 2021-05-10 17:38:55, 2021-05-10 17:38:55, -75,        1, 78:8A:20:2D:27:AB,
94:87:E0:56:52:B0, 2021-05-10 17:39:00, 2021-05-10 17:39:00, -74,        1, B6:77:BD:B5:93:F2,
3E:21:ED:1D:59:D4, 2021-05-10 17:38:49, 2021-05-10 17:39:14, -77,       35, F4:92:BF:AA:4B:35,
40:B0:76:67:4E:78, 2021-05-10 17:38:55, 2021-05-10 17:39:12, -58,       17, 18:E8:29:91:AB:60,
88:D5:0C:15:B2:D0, 2021-05-10 17:38:57, 2021-05-10 17:38:57, -62,        1, 18:E8:29:91:AB:60,
68:BF:C4:01:C2:3C, 2021-05-10 17:38:55, 2021-05-10 17:39:14, -66,        9, 1A:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-10 17:38:59, 2021-05-10 17:39:13, -63,       59, 18:E8:29:91:AB:60,
20:47:DA:15:4F:99, 2021-05-10 17:38:59, 2021-05-10 17:38:59,  -1,      170, 18:E8:29:91:AB:60,
C0:87:EB:37:8C:A3, 2021-05-10 17:39:12, 2021-05-10 17:39:13, -69,        7, 18:E8:29:91:AB:60,
42:76:94:D1:46:38, 2021-05-10 17:39:12, 2021-05-10 17:39:12, -88,        1, 78:8A:20:2D:27:AB,
70:3E:AC:95:D4:06, 2021-05-10 17:39:12, 2021-05-10 17:39:12, -80,        1, 18:E8:29:91:AB:60,
F6:7E:BE:01:26:23, 2021-05-10 17:39:13, 2021-05-10 17:39:13, -70,        2, 18:E8:29:91:AB:60,
B2:D1:FE:DC:7D:EA, 2021-05-10 17:39:13, 2021-05-10 17:39:13, -88,        1, 78:8A:20:2D:27:AB,
08:7F:98:C4:23:AB, 2021-05-10 17:39:14, 2021-05-10 17:39:14, -80,        1, F4:92:BF:AA:3C:81,
3A:E7:F7:29:47:95, 2021-05-10 17:39:14, 2021-05-10 17:39:14, -84,        2, 18:E8:29:91:AB:60,

