
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-11 18:25:08, 2021-05-11 18:25:49,  9, 130, WPA2, CCMP, PSK, -87,        6,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-11 18:25:01, 2021-05-11 18:25:53, 11, 195, WPA2, CCMP, PSK, -83,        9,       38,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-11 18:25:09, 2021-05-11 18:25:54,  5, 130, WPA2, CCMP, PSK, -70,       11,       69,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-11 18:25:01, 2021-05-11 18:25:55, 11, 130, WPA2, CCMP, PSK, -64,        9,       23,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-11 18:25:01, 2021-05-11 18:25:53, 11, 195, WPA2, CCMP, PSK, -57,       10,       60,   0.  0.  0.  0,  11, PHYcareline, 
36:97:F6:C7:0C:DC, 2021-05-11 18:25:54, 2021-05-11 18:26:00,  7,  65, WPA2, CCMP, PSK, -41,        7,        0,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
28:3A:4D:08:90:4F, 2021-05-11 18:25:12, 2021-05-11 18:25:12, -94,        1, (not associated) ,
0C:98:38:A6:0F:47, 2021-05-11 18:25:06, 2021-05-11 18:25:30, -91,       24, (not associated) ,
42:35:2A:2F:ED:FA, 2021-05-11 18:25:25, 2021-05-11 18:25:53, -91,        2, 78:8A:20:2D:27:AB,PHYcareline
DA:A1:19:BC:7B:EE, 2021-05-11 18:25:04, 2021-05-11 18:25:04, -89,        5, (not associated) ,amutwov
3A:E7:F7:29:47:95, 2021-05-11 18:25:11, 2021-05-11 18:25:36, -87,        2, 18:E8:29:91:AB:60,
A4:D9:90:D0:CD:A1, 2021-05-11 18:25:43, 2021-05-11 18:25:44, -87,        3, (not associated) ,
70:5E:55:A6:DD:59, 2021-05-11 18:25:53, 2021-05-11 18:25:53, -87,        3, 18:E8:29:91:AB:60,
70:81:EB:82:C3:D8, 2021-05-11 18:25:38, 2021-05-11 18:25:38, -86,        1, (not associated) ,
D8:CE:3A:38:B0:D7, 2021-05-11 18:25:28, 2021-05-11 18:25:53, -86,        4, 78:8A:20:2D:27:AB,
8E:56:25:FD:EC:7E, 2021-05-11 18:25:01, 2021-05-11 18:25:01, -85,        1, (not associated) ,PHYcareline
0E:2A:2B:D1:5E:E7, 2021-05-11 18:25:13, 2021-05-11 18:25:13, -85,       13, F4:92:BF:AA:3C:81,
4C:49:E3:2B:92:17, 2021-05-11 18:25:39, 2021-05-11 18:25:56, -79,        4, 18:E8:29:91:AB:60,PHYcareline
BA:59:0D:03:64:9F, 2021-05-11 18:25:01, 2021-05-11 18:25:43, -84,       26, F4:92:BF:AA:4B:35,PHYcareline
08:7F:98:C4:23:AB, 2021-05-11 18:25:15, 2021-05-11 18:25:55, -84,       10, F4:92:BF:AA:3C:81,
1A:59:88:E5:E8:6D, 2021-05-11 18:25:11, 2021-05-11 18:25:53, -80,       52, 18:E8:29:91:AB:60,
58:7A:6A:7A:D0:9B, 2021-05-11 18:25:35, 2021-05-11 18:25:36, -79,        9, (not associated) ,
3A:4E:DD:18:88:45, 2021-05-11 18:25:25, 2021-05-11 18:25:40, -77,       89, F4:92:BF:AA:4B:35,
00:EC:0A:BF:D3:B2, 2021-05-11 18:25:13, 2021-05-11 18:25:13, -76,        4, 18:E8:29:91:AB:60,
40:B0:76:67:4E:78, 2021-05-11 18:25:28, 2021-05-11 18:25:47, -75,       11, F4:92:BF:AA:3C:81,
68:BF:C4:01:C2:3C, 2021-05-11 18:25:48, 2021-05-11 18:25:57, -79,        3, F6:92:BF:9A:4B:35,
8A:49:3D:8A:85:B5, 2021-05-11 18:25:01, 2021-05-11 18:25:24, -74,        9, F4:92:BF:AA:3C:81,
EA:82:A4:70:B4:4A, 2021-05-11 18:25:02, 2021-05-11 18:25:51, -73,       35, F4:92:BF:AA:3C:81,
34:97:F6:C7:0C:DC, 2021-05-11 18:25:27, 2021-05-11 18:25:27, -73,        3, (not associated) ,
C6:FE:5B:92:0D:30, 2021-05-11 18:25:26, 2021-05-11 18:25:26, -72,        3, (not associated) ,
94:87:E0:56:52:B0, 2021-05-11 18:25:11, 2021-05-11 18:25:51, -72,        8, B6:77:BD:B5:93:F2,Tenda_ED4330
7C:2A:DB:B9:5D:D2, 2021-05-11 18:25:23, 2021-05-11 18:25:54, -72,       14, F4:92:BF:AA:4B:35,
40:B0:76:D3:F1:1E, 2021-05-11 18:25:21, 2021-05-11 18:25:43, -71,       12, F4:92:BF:AA:41:2D,
02:04:96:7D:4B:8D, 2021-05-11 18:25:08, 2021-05-11 18:25:08, -68,        2, (not associated) ,PHYcareline
AA:27:55:79:DA:D2, 2021-05-11 18:25:09, 2021-05-11 18:25:27, -64,        9, F4:92:BF:AA:4B:35,
8A:0B:0C:96:C3:1A, 2021-05-11 18:25:13, 2021-05-11 18:25:13, -62,        3, (not associated) ,
62:20:07:40:AC:8E, 2021-05-11 18:25:11, 2021-05-11 18:25:51, -61,        3, 18:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-11 18:25:11, 2021-05-11 18:25:50, -60,        2, F4:92:BF:AA:4B:35,
0C:98:38:7D:95:77, 2021-05-11 18:25:12, 2021-05-11 18:25:12,  -1,        1, F4:92:BF:AA:4B:35,
34:E9:11:15:B6:89, 2021-05-11 18:25:13, 2021-05-11 18:25:13,  -1,        3, 18:E8:29:91:AB:60,
6E:6F:D1:82:86:F4, 2021-05-11 18:25:55, 2021-05-11 18:25:55, -84,        1, F4:92:BF:AA:3C:81,
9A:91:50:45:5E:D1, 2021-05-11 18:25:55, 2021-05-11 18:25:55, -94,        2, (not associated) ,
28:3A:4D:09:93:91, 2021-05-11 18:25:56, 2021-05-11 18:25:56, -92,        1, (not associated) ,

