
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:24:BD:08:39:01, 2021-05-11 18:26:56, 2021-05-11 18:27:22,  1, 130, WPA2, CCMP, MGT, -82,        8,        0,   0.  0.  0.  0,  13, scania-mobile, 
36:97:F6:C7:0C:DC, 2021-05-11 18:27:24, 2021-05-11 18:27:24, 13,  65, WPA2 OPN, CCMP, PSK, -56,        2,        1,   0.  0.  0.  0,  13, scania-mobile, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
42:35:2A:2F:ED:FA, 2021-05-11 18:27:12, 2021-05-11 18:27:12, -93,        1, (not associated) ,PHYcareline
4C:49:E3:2B:92:17, 2021-05-11 18:27:06, 2021-05-11 18:27:06, -89,        2, 78:8A:20:2D:27:AB,
02:44:5A:0C:BB:0E, 2021-05-11 18:27:10, 2021-05-11 18:27:11, -89,        3, (not associated) ,
40:B0:76:D3:F1:1E, 2021-05-11 18:27:00, 2021-05-11 18:27:23, -89,       42, F4:92:BF:AA:41:2D,
6E:7C:EB:5A:A8:CC, 2021-05-11 18:27:23, 2021-05-11 18:27:23, -89,        2, (not associated) ,
7E:2A:DB:35:0A:2B, 2021-05-11 18:26:57, 2021-05-11 18:26:58, -88,        4, (not associated) ,
02:01:00:46:98:01, 2021-05-11 18:27:19, 2021-05-11 18:27:19, -88,        1, 78:8A:20:2D:27:AB,
9C:F3:87:21:7B:EE, 2021-05-11 18:27:09, 2021-05-11 18:27:24, -87,        5, (not associated) ,PHYcareline
D0:9C:7A:17:5A:E2, 2021-05-11 18:27:13, 2021-05-11 18:27:21, -87,        3, F4:92:BF:AA:40:A1,PHYcareline
BA:59:0D:03:64:9F, 2021-05-11 18:27:06, 2021-05-11 18:27:08, -85,        4, 18:E8:29:91:AB:60,
6E:71:0C:98:E0:27, 2021-05-11 18:27:18, 2021-05-11 18:27:18, -85,        1, (not associated) ,
3A:E7:F7:29:47:95, 2021-05-11 18:27:04, 2021-05-11 18:27:04, -82,        1, 18:E8:29:91:AB:60,
0C:98:38:29:07:5B, 2021-05-11 18:27:06, 2021-05-11 18:27:06, -82,        3, F4:92:BF:AA:3C:81,
D2:9C:7A:48:09:48, 2021-05-11 18:27:20, 2021-05-11 18:27:20, -81,        1, (not associated) ,
20:5E:F7:DA:EA:72, 2021-05-11 18:27:17, 2021-05-11 18:27:17, -77,        1, 18:E8:29:91:AB:60,
62:20:07:40:AC:8E, 2021-05-11 18:27:24, 2021-05-11 18:27:24, -76,        2, 18:E8:29:91:AB:60,
3A:4E:DD:18:88:45, 2021-05-11 18:27:05, 2021-05-11 18:27:20, -75,        7, F4:92:BF:AA:4B:35,
40:B0:76:67:4E:78, 2021-05-11 18:27:17, 2021-05-11 18:27:17, -71,        3, F4:92:BF:AA:3C:81,
EE:73:C7:DF:DB:62, 2021-05-11 18:27:06, 2021-05-11 18:27:21, -67,        5, 18:E8:29:91:AB:60,
68:BF:C4:01:C2:3C, 2021-05-11 18:27:05, 2021-05-11 18:27:05, -65,        1, F6:92:BF:9A:4B:35,
EA:82:A4:70:B4:4A, 2021-05-11 18:27:06, 2021-05-11 18:27:21, -64,       16, F4:92:BF:AA:3C:81,
D0:9C:7A:05:4A:58, 2021-05-11 18:27:17, 2021-05-11 18:27:19, -63,        3, F4:92:BF:AA:3C:81,
A2:5F:91:E0:C6:9C, 2021-05-11 18:27:06, 2021-05-11 18:27:17, -60,        4, 18:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-11 18:27:05, 2021-05-11 18:27:20, -59,       12, F4:92:BF:AA:4B:35,
36:97:F6:C7:0C:DC, 2021-05-11 18:27:23, 2021-05-11 18:27:23, -51,        5, (not associated) ,
C6:FE:5B:68:E7:82, 2021-05-11 18:27:26, 2021-05-11 18:27:26, -84,        2, (not associated) ,

