
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
FC:A6:CD:31:9F:B0, 2021-05-11 18:28:07, 2021-05-11 18:28:37,  2, 130, WPA2 WPA, CCMP, PSK, -92,        6,        0,   0.  0.  0.  0,  13, Euronet-Guest, 
36:97:F6:C7:0C:DC, 2021-05-11 18:28:46, 2021-05-11 18:28:50, 13,  65, WPA2, CCMP, PSK, -48,        5,        0,   0.  0.  0.  0,  13, Euronet-Guest, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A2:49:FE:5E:A7:6A, 2021-05-11 18:28:13, 2021-05-11 18:28:13, -96,        1, (not associated) ,
20:34:FB:F0:6B:0C, 2021-05-11 18:28:18, 2021-05-11 18:28:18, -93,        1, 78:8A:20:2D:27:AB,
CA:F2:6B:90:3D:9A, 2021-05-11 18:28:29, 2021-05-11 18:28:29, -92,        5, F0:9F:C2:6C:11:7B,
0E:2A:2B:D1:5E:E7, 2021-05-11 18:28:45, 2021-05-11 18:28:45, -91,        1, F4:92:BF:AA:3C:81,
2A:B7:02:08:42:70, 2021-05-11 18:28:21, 2021-05-11 18:28:21, -89,        1, (not associated) ,
A2:5F:91:E0:C6:9C, 2021-05-11 18:28:27, 2021-05-11 18:28:46, -87,       37, F4:92:BF:AA:4B:35,PHYcareline
3A:4E:DD:18:88:45, 2021-05-11 18:28:13, 2021-05-11 18:28:35, -86,        5, F4:92:BF:AA:4B:35,
4E:CD:DB:F0:0B:B2, 2021-05-11 18:28:45, 2021-05-11 18:28:47, -86,        9, F4:92:BF:AA:3C:81,PHYcareline
C0:87:EB:11:0D:C9, 2021-05-11 18:28:48, 2021-05-11 18:28:48, -86,        4, (not associated) ,wisma kohati,wismakohati,hotspotapasandi
08:7F:98:C4:23:AB, 2021-05-11 18:28:20, 2021-05-11 18:28:20, -85,        1, F4:92:BF:AA:3C:81,
70:5E:55:A6:DD:59, 2021-05-11 18:28:44, 2021-05-11 18:28:45, -85,      146, 18:E8:29:91:AB:60,
D0:C5:D3:D7:95:3D, 2021-05-11 18:28:24, 2021-05-11 18:28:24, -83,        4, (not associated) ,
D8:CE:3A:38:B0:D7, 2021-05-11 18:28:45, 2021-05-11 18:28:45, -83,        1, 78:8A:20:2D:27:AB,
DA:A1:19:C4:5A:31, 2021-05-11 18:28:40, 2021-05-11 18:28:41, -82,        8, (not associated) ,
88:E8:7F:0C:B3:68, 2021-05-11 18:28:39, 2021-05-11 18:28:45, -82,        7, 18:E8:29:91:AB:60,PHYcareline
0C:98:38:29:07:5B, 2021-05-11 18:28:44, 2021-05-11 18:28:46, -81,       16, F4:92:BF:AA:3C:81,
50:29:F5:DF:F3:1F, 2021-05-11 18:28:31, 2021-05-11 18:28:31, -80,        3, F4:92:BF:AA:3C:81,
1A:59:88:E5:E8:6D, 2021-05-11 18:28:44, 2021-05-11 18:28:45, -80,        7, 18:E8:29:91:AB:60,
3A:E7:F7:29:47:95, 2021-05-11 18:28:46, 2021-05-11 18:28:46, -80,        2, 18:E8:29:91:AB:60,
DA:A1:19:93:6A:20, 2021-05-11 18:28:44, 2021-05-11 18:28:44, -79,        1, (not associated) ,
00:EC:0A:BF:D3:B2, 2021-05-11 18:28:44, 2021-05-11 18:28:45, -79,       98, 18:E8:29:91:AB:60,
EA:82:A4:70:B4:4A, 2021-05-11 18:28:20, 2021-05-11 18:28:47, -77,        4, F4:92:BF:AA:3C:81,
DA:A1:19:CC:92:C2, 2021-05-11 18:28:24, 2021-05-11 18:28:24, -75,        3, (not associated) ,
40:B0:76:D3:F1:1E, 2021-05-11 18:28:29, 2021-05-11 18:28:50, -62,       10, F4:92:BF:AA:41:2D,
94:87:E0:56:52:B0, 2021-05-11 18:28:31, 2021-05-11 18:28:31, -72,        1, B6:77:BD:B5:93:F2,
7C:2A:DB:B9:5D:D2, 2021-05-11 18:28:45, 2021-05-11 18:28:45, -72,        5, 78:8A:20:2D:27:AB,
68:BF:C4:01:C2:3C, 2021-05-11 18:28:15, 2021-05-11 18:28:15, -70,        2, F6:92:BF:9A:4B:35,
0C:98:38:65:F4:17, 2021-05-11 18:28:44, 2021-05-11 18:28:45, -69,       30, F4:92:BF:AA:3C:81,
58:7A:6A:7A:D0:9B, 2021-05-11 18:28:43, 2021-05-11 18:28:43, -68,       25, F4:92:BF:AA:4B:35,
EE:73:C7:DF:DB:62, 2021-05-11 18:28:45, 2021-05-11 18:28:50, -79,       18, 18:E8:29:91:AB:60,
D0:9C:7A:05:4A:58, 2021-05-11 18:28:18, 2021-05-11 18:28:45, -66,        6, F4:92:BF:AA:3C:81,
62:20:07:40:AC:8E, 2021-05-11 18:28:18, 2021-05-11 18:28:18, -64,       35, 18:E8:29:91:AB:60,
C0:87:EB:37:8C:A3, 2021-05-11 18:28:46, 2021-05-11 18:28:47, -64,        2, 18:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-11 18:28:15, 2021-05-11 18:28:15, -63,        1, F4:92:BF:AA:4B:35,
B4:A5:AC:CA:0B:19, 2021-05-11 18:28:18, 2021-05-11 18:28:18,  -1,        4, 78:8A:20:2D:27:AB,
E0:1F:88:4B:A0:96, 2021-05-11 18:28:31, 2021-05-11 18:28:31,  -1,        4, F4:92:BF:AA:3C:81,
36:11:E8:8F:48:B7, 2021-05-11 18:28:31, 2021-05-11 18:28:31,  -1,        3, F4:92:BF:AA:3C:81,

