
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F6:92:BF:9A:40:A1, 2021-05-11 18:42:40, 2021-05-11 18:44:09,  9, 130, WPA2, CCMP, PSK, -87,        6,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
7A:8A:20:2D:27:AB, 2021-05-11 18:42:29, 2021-05-11 18:44:57, 11, 195, WPA2, CCMP, PSK, -81,       19,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:4B:35, 2021-05-11 18:42:17, 2021-05-11 18:44:56,  5, 130, WPA2, CCMP, PSK, -71,       30,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:3C:81, 2021-05-11 18:42:29, 2021-05-11 18:44:57, 11, 130, WPA2, CCMP, PSK, -64,       26,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
1A:E8:29:91:AB:60, 2021-05-11 18:42:29, 2021-05-11 18:44:57, 11, 195, WPA2, CCMP, PSK, -57,       27,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
36:97:F6:C7:0C:DC, 2021-05-11 18:45:01, 2021-05-11 18:45:04,  3,  65, WPA2, CCMP, PSK, -50,        3,        1,   0.  0.  0.  0,  14, PHYcoordinator, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
88:E8:7F:0C:B3:68, 2021-05-11 18:43:44, 2021-05-11 18:43:44, -75,        6, 18:E8:29:91:AB:60,
2C:D0:66:15:8C:46, 2021-05-11 18:43:29, 2021-05-11 18:43:29, -87,        1, (not associated) ,
FA:24:2A:FA:F9:B4, 2021-05-11 18:42:55, 2021-05-11 18:42:55, -63,        2, (not associated) ,
08:7F:98:BD:8E:33, 2021-05-11 18:42:40, 2021-05-11 18:42:55, -92,        7, F4:92:BF:AA:40:A1,
58:7A:6A:7A:D0:9B, 2021-05-11 18:42:30, 2021-05-11 18:42:43, -65,       32, F4:92:BF:AA:4B:35,OPPO_CPH1911_co_aprolo,OPPO_CPH1911_co_apiuvj,OPPO_CPH1911_co_apbhxb
70:5E:55:A6:DD:59, 2021-05-11 18:42:29, 2021-05-11 18:42:44, -85,       18, 18:E8:29:91:AB:60,
DA:A1:19:A2:03:48, 2021-05-11 18:42:34, 2021-05-11 18:42:34, -85,        3, (not associated) ,
3C:B6:B7:27:4D:51, 2021-05-11 18:42:21, 2021-05-11 18:42:21, -75,        4, (not associated) ,
40:B0:76:D3:F1:1E, 2021-05-11 18:42:27, 2021-05-11 18:42:27, -75,       17, F4:92:BF:AA:41:2D,PHY-GUEST
DA:A1:19:68:83:FF, 2021-05-11 18:42:36, 2021-05-11 18:42:36, -88,        1, (not associated) ,
EE:73:C7:DF:DB:62, 2021-05-11 18:42:29, 2021-05-11 18:45:03, -76,        4, 18:E8:29:91:AB:60,
DA:A1:19:A6:F9:5D, 2021-05-11 18:42:48, 2021-05-11 18:42:48, -76,        1, (not associated) ,
18:F0:E4:32:54:62, 2021-05-11 18:42:59, 2021-05-11 18:42:59, -89,        1, 78:8A:20:2D:27:AB,
28:3A:4D:09:93:91, 2021-05-11 18:43:00, 2021-05-11 18:43:00, -88,        2, (not associated) ,
02:44:5A:0C:BB:0E, 2021-05-11 18:43:14, 2021-05-11 18:43:14, -95,        1, 7A:8A:20:2D:27:AB,
DA:A1:19:3F:58:CF, 2021-05-11 18:43:14, 2021-05-11 18:43:14, -90,        7, (not associated) ,
F8:32:E4:7A:17:8A, 2021-05-11 18:42:38, 2021-05-11 18:43:14, -78,        8, F4:92:BF:AA:3C:81,JARINGAN OFF
02:09:B8:32:58:F4, 2021-05-11 18:43:28, 2021-05-11 18:43:28, -89,        1, (not associated) ,mahasiswa
84:6F:CE:0E:3C:59, 2021-05-11 18:44:28, 2021-05-11 18:44:28, -93,        1, 1A:E8:29:91:AB:60,
A6:B3:DF:37:C6:4C, 2021-05-11 18:43:02, 2021-05-11 18:44:13, -90,        3, 7A:8A:20:2D:27:AB,
D8:CE:3A:38:B0:D7, 2021-05-11 18:42:42, 2021-05-11 18:44:30, -87,        5, 78:8A:20:2D:27:AB,
7C:2A:DB:B9:5D:D2, 2021-05-11 18:42:50, 2021-05-11 18:44:30, -85,       14, (not associated) ,Nawawi 25,Devi,WAROENG MAMA,Resto-hp1
0C:98:38:29:07:5B, 2021-05-11 18:42:29, 2021-05-11 18:44:42, -81,        9, 18:E8:29:91:AB:60,
68:BF:C4:01:C2:3C, 2021-05-11 18:42:17, 2021-05-11 18:44:32, -80,        8, F6:92:BF:9A:4B:35,
08:7F:98:C4:23:AB, 2021-05-11 18:44:40, 2021-05-11 18:44:40, -80,        1, F4:92:BF:AA:3C:81,
3A:E7:F7:29:47:95, 2021-05-11 18:42:44, 2021-05-11 18:44:57, -79,        6, 18:E8:29:91:AB:60,
94:87:E0:56:52:B0, 2021-05-11 18:42:44, 2021-05-11 18:44:38, -79,        7, B6:77:BD:B5:93:F2,
50:3C:EA:39:C1:6B, 2021-05-11 18:42:22, 2021-05-11 18:44:55, -74,      439, F4:92:BF:AA:40:A1,
80:19:34:88:E8:61, 2021-05-11 18:44:29, 2021-05-11 18:44:29, -68,        2, (not associated) ,

