
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F0:9F:C2:6C:11:7B, 2021-04-25 17:05:38, 2021-04-25 17:05:38, 10, 720, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:40:A1, 2021-04-25 17:05:27, 2021-04-25 17:05:55,  9, 130, WPA2, CCMP, PSK, -73,       20,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-04-25 17:05:28, 2021-04-25 17:05:56, 11, 195, WPA2, CCMP, PSK, -65,       23,       10,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-04-25 17:05:28, 2021-04-25 17:05:56,  5, 130, WPA2, CCMP, PSK, -58,       18,        2,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-04-25 17:05:28, 2021-04-25 17:05:56, 11, 195, WPA2, CCMP, PSK, -46,       19,       15,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-04-25 17:05:28, 2021-04-25 17:05:57, 11, 130, WPA2, CCMP, PSK, -49,       23,        8,   0.  0.  0.  0,  11, PHYcareline, 
36:97:F6:C7:0C:DC, 2021-04-25 17:05:57, 2021-04-25 17:05:57,  7,  65, WPA2, CCMP, PSK, -39,        2,        0,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EC:51:BC:61:44:D5, 2021-04-25 17:05:32, 2021-04-25 17:05:32, -93,        1, (not associated) ,Redmi
F8:1A:67:4C:A3:06, 2021-04-25 17:05:42, 2021-04-25 17:05:42, -93,        1, (not associated) ,
B4:6B:FC:BB:33:A7, 2021-04-25 17:05:25, 2021-04-25 17:05:25, -89,        1, (not associated) ,
7C:B2:7D:47:40:19, 2021-04-25 17:05:35, 2021-04-25 17:05:52, -89,        5, 02:EF:68:B3:B8:A3,
0E:59:8E:11:8D:C3, 2021-04-25 17:05:47, 2021-04-25 17:05:47, -89,        1, (not associated) ,
62:C2:3B:23:48:4B, 2021-04-25 17:05:32, 2021-04-25 17:05:32, -87,        2, (not associated) ,
20:34:FB:A7:3C:B4, 2021-04-25 17:05:45, 2021-04-25 17:05:45, -87,        4, F4:92:BF:AA:3C:81,PHYcareline
04:92:26:AC:0A:0B, 2021-04-25 17:05:46, 2021-04-25 17:05:46, -85,        6, F4:92:BF:AA:3C:81,
FE:5F:2A:EB:49:C0, 2021-04-25 17:05:32, 2021-04-25 17:05:32, -79,        1, (not associated) ,
7E:32:57:88:D2:C5, 2021-04-25 17:05:38, 2021-04-25 17:05:39, -79,        4, (not associated) ,
06:1D:FE:56:26:22, 2021-04-25 17:05:44, 2021-04-25 17:05:44, -79,        2, (not associated) ,
78:62:56:CB:E1:38, 2021-04-25 17:05:34, 2021-04-25 17:05:40, -77,        4, (not associated) ,
50:29:F5:DF:F3:1F, 2021-04-25 17:05:28, 2021-04-25 17:05:28, -75,        1, F4:92:BF:AA:3C:81,
4E:CD:DB:F0:0B:B2, 2021-04-25 17:05:26, 2021-04-25 17:05:55, -73,       16, (not associated) ,
DA:98:89:19:C4:0A, 2021-04-25 17:05:40, 2021-04-25 17:05:40, -71,        4, (not associated) ,
62:0F:08:58:89:13, 2021-04-25 17:05:52, 2021-04-25 17:05:52, -63,        3, (not associated) ,
34:97:F6:C7:0C:DC, 2021-04-25 17:05:46, 2021-04-25 17:05:46, -61,        2, (not associated) ,
94:87:E0:56:52:B0, 2021-04-25 17:05:27, 2021-04-25 17:05:53, -59,        9, F6:92:BF:9A:3C:81,Tenda_ED4330
A6:94:40:FB:0B:F1, 2021-04-25 17:05:46, 2021-04-25 17:05:46, -59,        4, (not associated) ,
40:B0:76:67:4E:78, 2021-04-25 17:05:38, 2021-04-25 17:05:54, -59,        3, 18:E8:29:91:AB:60,
20:47:DA:39:1F:EF, 2021-04-25 17:05:54, 2021-04-25 17:05:54, -58,        1, B6:77:BD:B5:93:F2,
50:3C:EA:39:C1:6B, 2021-04-25 17:05:28, 2021-04-25 17:05:39, -56,       16, 78:8A:20:2D:27:AB,bayiuburubur,Balifiber Free - Molecool,@Molecool Free Wifi
9E:3F:A9:91:9D:81, 2021-04-25 17:05:31, 2021-04-25 17:05:57, -59,        7, F4:92:BF:AA:3C:81,
36:97:F6:C7:0C:DC, 2021-04-25 17:05:54, 2021-04-25 17:05:54, -42,        5, (not associated) ,
0C:98:38:2B:68:AD, 2021-04-25 17:05:53, 2021-04-25 17:05:53,  -1,        4, F4:92:BF:AA:3C:81,
88:5A:06:64:AB:CD, 2021-04-25 17:05:56, 2021-04-25 17:05:56,  -1,        1, F4:92:BF:AA:4B:35,
DA:A1:19:36:BC:AB, 2021-04-25 17:05:56, 2021-04-25 17:05:56, -89,        5, (not associated) ,CW1MX2JKDKH4DQ,5a1256e3b9e2e6ddf,BIOVCUYX2SQPB2
DA:A1:19:81:B0:39, 2021-04-25 17:05:56, 2021-04-25 17:05:56, -93,        1, (not associated) ,

