
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D2:F8:8C:3D:A2:AA, 2021-07-18 22:48:25, 2021-07-18 22:49:06,  6,  54, WPA2, CCMP, PSK, -68,       38,        2,   0.  0.  0.  0,   9, motorolla, 
36:97:F6:C7:0C:DC, 2021-07-18 22:49:07, 2021-07-18 22:49:07, 13,  54, WPA2, CCMP, PSK, -48,        3,        0,   0.  0.  0.  0,   9, motorolla, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
22:36:09:8C:BF:3A, 2021-07-18 22:48:43, 2021-07-18 22:48:43, -87,        1, B8:DD:71:82:CA:00,
66:9B:DC:C9:63:D7, 2021-07-18 22:49:05, 2021-07-18 22:49:05, -87,        1, B8:DD:71:82:CA:00,
98:E7:9A:80:6D:97, 2021-07-18 22:48:33, 2021-07-18 22:48:33, -72,        5, D2:F8:8C:3D:A2:AA,
F8:B7:19:2F:7B:EA, 2021-07-18 22:48:35, 2021-07-18 22:48:35, -70,        1, A2:76:1B:E4:7B:DB,
7A:4E:C7:1A:65:3C, 2021-07-18 22:48:29, 2021-07-18 22:49:04, -61,        9, A2:76:1B:E4:7B:DB,
36:97:F6:C7:0C:DC, 2021-07-18 22:49:03, 2021-07-18 22:49:03, -45,        5, (not associated) ,
EC:0E:C4:47:D4:17, 2021-07-18 22:48:30, 2021-07-18 22:49:00, -42,        8, D2:F8:8C:3D:A2:AA,motorolla
34:97:F6:C7:0C:DC, 2021-07-18 22:48:40, 2021-07-18 22:49:00, -39,        7, D2:F8:8C:3D:A2:AA,
B4:04:18:7F:A3:BA, 2021-07-18 22:48:29, 2021-07-18 22:48:29,  -1,        1, A2:76:1B:E4:7B:DB,
08:8C:2C:D0:EE:B7, 2021-07-18 22:48:48, 2021-07-18 22:49:02,  -1,        7, 94:E3:EE:5E:45:69,

