
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D2:F8:8C:3D:A2:AA, 2021-07-18 21:13:05, 2021-07-18 21:14:35,  6,  54, WPA2, CCMP, PSK, -59,       91,       29,   0.  0.  0.  0,   9, motorolla, 
36:97:F6:C7:0C:DC, 2021-07-18 21:14:35, 2021-07-18 21:14:35, 13,  54, WPA2, CCMP, PSK, -43,        1,        0,   0.  0.  0.  0,   9, motorolla, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
98:E7:9A:80:6D:97, 2021-07-18 21:13:12, 2021-07-18 21:13:12, -65,        4, D2:F8:8C:3D:A2:AA,
6A:84:4C:D0:DF:CF, 2021-07-18 21:13:48, 2021-07-18 21:14:24, -81,       12, 74:B5:7E:B3:32:B8,
EC:0E:C4:47:D4:17, 2021-07-18 21:13:10, 2021-07-18 21:14:34, -76,       20, D2:F8:8C:3D:A2:AA,motorolla
F8:B7:19:2F:7B:EA, 2021-07-18 21:13:27, 2021-07-18 21:14:22, -69,       14, A2:76:1B:E4:7B:DB,
E4:5F:01:25:70:52, 2021-07-18 21:13:10, 2021-07-18 21:14:30, -66,       24, D2:F8:8C:3D:A2:AA,
7A:4E:C7:1A:65:3C, 2021-07-18 21:13:13, 2021-07-18 21:14:04, -57,       23, A2:76:1B:E4:7B:DB,
B4:04:18:7F:A3:BA, 2021-07-18 21:14:25, 2021-07-18 21:14:25, -56,        4, A2:76:1B:E4:7B:DB,
34:97:F6:C7:0C:DC, 2021-07-18 21:13:05, 2021-07-18 21:14:10, -45,       42, D2:F8:8C:3D:A2:AA,motorolla
36:97:F6:C7:0C:DC, 2021-07-18 21:14:32, 2021-07-18 21:14:32, -35,        2, (not associated) ,
08:8C:2C:D0:EE:B7, 2021-07-18 21:13:55, 2021-07-18 21:14:09,  -1,        3, 94:E3:EE:5E:45:69,

