
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-06-01 09:01:40, 2021-06-01 09:01:59,  9, 130, WPA2, CCMP, PSK, -71,        9,        1,   0.  0.  0.  0,  11, PHYcareline, 
68:D7:9A:74:35:EB, 2021-06-01 09:01:42, 2021-06-01 09:01:56, 11, 195, WPA2, CCMP, PSK, -75,        8,       59,   0.  0.  0.  0,  11, PHYcareline, 
36:97:F6:C7:0C:DC, 2021-06-01 09:01:55, 2021-06-01 09:01:59, 13,  65, WPA2, CCMP, PSK, -81,       13,        0,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-06-01 09:01:41, 2021-06-01 09:02:00,  5, 130, WPA2, CCMP, PSK, -67,       10,      230,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-06-01 09:01:41, 2021-06-01 09:01:56, 11, 195, WPA2, CCMP, PSK, -64,        7,       13,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-06-01 09:01:42, 2021-06-01 09:02:00, 11, 195, WPA2, CCMP, PSK, -59,        8,       45,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-06-01 09:01:42, 2021-06-01 09:01:57, 11, 130, WPA2, CCMP, PSK, -41,        8,      324,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5E:07:D9:EF:BB:55, 2021-06-01 09:01:46, 2021-06-01 09:01:46, -91,        1, F6:92:BF:9A:41:2D,
BE:D8:7C:DD:4C:CA, 2021-06-01 09:01:41, 2021-06-01 09:01:56, -88,       18, 34:E9:11:33:12:37,
1A:59:88:E5:E8:6D, 2021-06-01 09:01:52, 2021-06-01 09:01:52, -85,        1, F4:92:BF:AA:4B:35,
80:2B:F9:E4:FC:A5, 2021-06-01 09:01:43, 2021-06-01 09:01:43, -84,        3, (not associated) ,ACT_DURI
70:B7:AA:AB:1B:A3, 2021-06-01 09:01:46, 2021-06-01 09:01:46, -83,        1, 68:D7:9A:74:35:EB,
EE:B6:3E:41:35:D4, 2021-06-01 09:01:51, 2021-06-01 09:01:51, -83,        3, (not associated) ,
18:F0:E4:32:54:62, 2021-06-01 09:01:51, 2021-06-01 09:01:51, -83,        1, 78:8A:20:2D:27:AB,
76:0C:50:10:0E:78, 2021-06-01 09:01:39, 2021-06-01 09:01:42, -82,        4, (not associated) ,DIRECT-
7C:2A:DB:9C:83:3E, 2021-06-01 09:01:44, 2021-06-01 09:01:44, -82,        6, (not associated) ,Risky,octarn_
28:3A:4D:18:FD:87, 2021-06-01 09:01:55, 2021-06-01 09:01:55, -82,        3, 68:D7:9A:74:35:EB,
7C:2A:DB:B9:5D:D2, 2021-06-01 09:01:42, 2021-06-01 09:01:57, -73,      239, F4:92:BF:AA:3C:81,
BE:58:83:80:75:90, 2021-06-01 09:01:42, 2021-06-01 09:01:57, -78,        7, 18:E8:29:91:AB:60,
00:0A:00:78:D3:E7, 2021-06-01 09:01:45, 2021-06-01 09:01:45, -75,        1, F4:92:BF:AA:40:A1,
58:7A:6A:7A:D0:9B, 2021-06-01 09:01:41, 2021-06-01 09:02:00, -58,      242, F4:92:BF:AA:4B:35,
A6:B4:A5:89:DB:B1, 2021-06-01 09:01:46, 2021-06-01 09:01:51, -73,        4, 18:E8:29:91:AB:60,
AA:27:55:79:DA:D2, 2021-06-01 09:01:51, 2021-06-01 09:01:56, -70,        4, 18:E8:29:91:AB:60,
0E:2A:2B:D1:5E:E7, 2021-06-01 09:01:41, 2021-06-01 09:01:41, -67,        2, 78:8A:20:2D:27:AB,
C2:AC:A3:6C:35:0E, 2021-06-01 09:01:52, 2021-06-01 09:01:52, -66,        1, 18:E8:29:91:AB:60,
1A:CD:C8:15:19:54, 2021-06-01 09:01:38, 2021-06-01 09:02:00, -72,        9, F4:92:BF:AA:4B:35,
EC:0E:C4:47:D4:17, 2021-06-01 09:01:42, 2021-06-01 09:01:56, -37,       89, F4:92:BF:AA:3C:81,
36:97:F6:C7:0C:DC, 2021-06-01 09:01:54, 2021-06-01 09:01:55, -29,       10, (not associated) ,
A4:D9:90:EF:3A:07, 2021-06-01 09:01:42, 2021-06-01 09:01:56,  -1,      134, F6:92:BF:9A:41:2D,
50:29:F5:D0:08:E7, 2021-06-01 09:01:51, 2021-06-01 09:01:51,  -1,        2, 68:D7:9A:74:35:EB,
20:5E:F7:4A:C0:7A, 2021-06-01 09:01:55, 2021-06-01 09:01:55,  -1,        1, F4:92:BF:AA:40:A1,
4C:49:E3:2B:92:17, 2021-06-01 09:01:56, 2021-06-01 09:01:56, -68,        1, 78:8A:20:2D:27:AB,
94:87:E0:56:52:B0, 2021-06-01 09:01:56, 2021-06-01 09:01:56, -71,        5, F6:92:BF:9A:3C:81,
0C:8B:FD:70:34:7E, 2021-06-01 09:01:56, 2021-06-01 09:01:56, -76,        2, (not associated) ,
8E:56:25:FD:EC:7E, 2021-06-01 09:01:56, 2021-06-01 09:01:56, -66,        2, (not associated) ,
80:19:34:88:E8:F2, 2021-06-01 09:01:59, 2021-06-01 09:01:59, -90,        2, (not associated) ,
70:DD:A8:57:1D:60, 2021-06-01 09:02:00, 2021-06-01 09:02:00, -85,        1, 18:E8:29:91:AB:60,

