
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F6:92:BF:9A:40:A1, 2021-05-06 17:23:32, 2021-05-06 17:24:53,  9, 130, WPA2, CCMP, PSK, -83,        0,        1,   0.  0.  0.  0,  14, PHYcoordinator, 
1A:E8:29:91:AB:60, 2021-05-06 17:23:37, 2021-05-06 17:25:25, 11, 195, WPA2, CCMP, PSK, -50,       14,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
7A:8A:20:2D:27:AB, 2021-05-06 17:23:35, 2021-05-06 17:25:25, 11, 195, WPA2, CCMP, PSK, -69,       10,      106,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:4B:35, 2021-05-06 17:23:33, 2021-05-06 17:25:26,  5, 130, WPA2, CCMP, PSK, -65,       21,      112,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:3C:81, 2021-05-06 17:23:36, 2021-05-06 17:25:25, 11, 130, WPA2, CCMP, PSK, -55,       18,        0,   0.  0.  0.  0,  14, PHYcoordinator, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:F5:05:74:C0:5D, 2021-05-06 17:24:20, 2021-05-06 17:24:20,  -1,        1, 28:41:C6:49:63:08,
94:87:E0:56:52:B0, 2021-05-06 17:24:22, 2021-05-06 17:24:22, -67,        3, (not associated) ,Tenda_ED4330
00:EC:0A:BF:D3:B2, 2021-05-06 17:24:03, 2021-05-06 17:24:19, -74,        2, 18:E8:29:91:AB:60,
AA:6E:4B:CF:A3:C9, 2021-05-06 17:24:20, 2021-05-06 17:24:20, -82,        2, (not associated) ,
F8:28:19:0C:CB:18, 2021-05-06 17:24:19, 2021-05-06 17:24:19, -92,        1, (not associated) ,
30:07:4D:50:19:F3, 2021-05-06 17:24:12, 2021-05-06 17:24:12,  -1,        1, 28:41:C6:49:63:08,
80:19:34:88:E8:61, 2021-05-06 17:24:09, 2021-05-06 17:24:09, -59,        4, (not associated) ,
82:1D:66:DF:BC:F0, 2021-05-06 17:24:11, 2021-05-06 17:24:11, -85,        2, (not associated) ,
06:C8:07:9D:9E:9D, 2021-05-06 17:23:58, 2021-05-06 17:23:58, -59,        6, (not associated) ,
DA:A1:19:B3:5D:F9, 2021-05-06 17:23:59, 2021-05-06 17:23:59, -75,        3, (not associated) ,
02:D3:AD:6E:F3:17, 2021-05-06 17:23:58, 2021-05-06 17:23:58, -84,        2, (not associated) ,
CA:11:7B:F3:9B:E2, 2021-05-06 17:23:36, 2021-05-06 17:23:36,  -1,        1, F4:92:BF:AA:4B:35,
0C:98:38:A6:0F:47, 2021-05-06 17:23:36, 2021-05-06 17:23:36,  -1,       11, F4:92:BF:AA:4B:35,
C8:3D:DC:D7:A4:96, 2021-05-06 17:23:32, 2021-05-06 17:23:32,  -1,        1, F6:92:BF:9A:40:A1,
80:2B:F9:E5:00:35, 2021-05-06 17:23:33, 2021-05-06 17:23:33, -81,        1, F0:9F:C2:6C:11:7B,
2C:D0:66:15:8C:46, 2021-05-06 17:23:37, 2021-05-06 17:23:37, -68,        1, 18:E8:29:91:AB:60,
06:C8:07:58:98:B4, 2021-05-06 17:23:51, 2021-05-06 17:23:52, -64,        4, (not associated) ,
70:5E:55:2A:E0:95, 2021-05-06 17:23:49, 2021-05-06 17:23:49,  -1,        1, F4:92:BF:AA:4B:35,
08:7F:98:C4:23:AB, 2021-05-06 17:24:03, 2021-05-06 17:24:03, -86,        1, 78:8A:20:2D:27:AB,
4E:59:37:F7:0C:24, 2021-05-06 17:23:36, 2021-05-06 17:24:05, -72,       42, 18:E8:29:91:AB:60,
A4:12:32:F5:8C:99, 2021-05-06 17:24:03, 2021-05-06 17:24:03, -69,        5, 18:E8:29:91:AB:60,
58:C6:F0:40:5F:BB, 2021-05-06 17:24:02, 2021-05-06 17:24:02,  -1,        5, F4:92:BF:AA:4B:35,
A2:5F:91:E0:C6:9C, 2021-05-06 17:24:14, 2021-05-06 17:24:16, -70,        9, F4:92:BF:AA:4B:35,
58:7A:6A:7A:D0:9B, 2021-05-06 17:24:16, 2021-05-06 17:24:16, -68,        1, 18:E8:29:91:AB:60,
DA:A1:19:37:3E:93, 2021-05-06 17:24:47, 2021-05-06 17:24:47, -86,        1, (not associated) ,
C0:87:EB:D6:99:BF, 2021-05-06 17:23:37, 2021-05-06 17:25:25, -86,       85, 18:E8:29:91:AB:60,
28:3A:4D:18:FD:87, 2021-05-06 17:23:37, 2021-05-06 17:25:25, -71,       53, 18:E8:29:91:AB:60,
DA:A1:19:98:CB:ED, 2021-05-06 17:24:59, 2021-05-06 17:24:59, -84,        1, (not associated) ,
