
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-06 17:29:08, 2021-05-06 17:29:08,  9, 130, WPA2, CCMP, PSK, -76,        1,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-06 17:28:58, 2021-05-06 17:28:58, 11, 195, WPA2, CCMP, PSK, -71,        1,        0,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-06 17:28:55, 2021-05-06 17:29:11,  5, 130, WPA2, CCMP, PSK, -68,        5,       37,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-06 17:28:50, 2021-05-06 17:29:14, 11, 130, WPA2, CCMP, PSK, -74,        2,      189,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-06 17:28:52, 2021-05-06 17:29:14, 11, 195, WPA2, CCMP, PSK, -68,        3,       18,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:47:DA:15:4F:99, 2021-05-06 17:28:58, 2021-05-06 17:28:58, -86,        1, 18:E8:29:91:AB:60,
34:E9:11:15:B6:89, 2021-05-06 17:28:58, 2021-05-06 17:28:58, -85,        5, 18:E8:29:91:AB:60,
C0:87:EB:11:0D:C9, 2021-05-06 17:29:03, 2021-05-06 17:29:12, -79,        2, 18:E8:29:91:AB:60,
7C:2A:DB:A6:45:AC, 2021-05-06 17:28:51, 2021-05-06 17:28:51, -78,        1, (not associated) ,
1C:CC:D6:D7:F3:FE, 2021-05-06 17:28:55, 2021-05-06 17:28:55, -78,        1, F4:92:BF:AA:4B:35,
42:35:2A:2F:ED:FA, 2021-05-06 17:28:59, 2021-05-06 17:28:59, -77,        2, (not associated) ,PHYcareline
3A:4E:DD:18:88:45, 2021-05-06 17:29:08, 2021-05-06 17:29:14, -70,        3, F4:92:BF:AA:3C:81,
EA:82:A4:70:B4:4A, 2021-05-06 17:28:57, 2021-05-06 17:28:57, -71,       40, F4:92:BF:AA:4B:35,
3C:B6:B7:27:4D:51, 2021-05-06 17:29:02, 2021-05-06 17:29:02, -71,        3, (not associated) ,
96:E7:2E:54:AA:5A, 2021-05-06 17:28:50, 2021-05-06 17:29:14, -63,       36, 7A:8A:20:2D:27:AB,
4E:CD:DB:F0:0B:B2, 2021-05-06 17:28:58, 2021-05-06 17:29:12, -84,        2, 18:E8:29:91:AB:60,
6E:6F:D1:82:86:F4, 2021-05-06 17:29:03, 2021-05-06 17:29:03, -69,        2, (not associated) ,PHYcareline
70:BB:E9:E8:EE:1B, 2021-05-06 17:28:50, 2021-05-06 17:29:10, -68,       66, F4:92:BF:AA:3C:81,macroid,bon bon,AndroidShare_9103,oppo as,AndroidAp
CA:F2:6B:90:3D:9A, 2021-05-06 17:28:53, 2021-05-06 17:29:14, -56,       29, F4:92:BF:AA:3C:81,
68:BF:C4:01:C2:3C, 2021-05-06 17:28:59, 2021-05-06 17:29:16, -61,        4, F6:92:BF:9A:4B:35,
A6:19:C5:A9:EB:22, 2021-05-06 17:28:58, 2021-05-06 17:29:12, -63,      128, F4:92:BF:AA:3C:81,
02:06:1E:88:09:02, 2021-05-06 17:28:56, 2021-05-06 17:28:56, -55,      145, F0:9F:C2:6C:11:7B,
40:B0:76:67:4E:78, 2021-05-06 17:28:52, 2021-05-06 17:29:01, -53,        3, 18:E8:29:91:AB:60,
D0:F8:8C:3D:A2:AA, 2021-05-06 17:28:56, 2021-05-06 17:28:56, -50,        4, 18:E8:29:91:AB:60,
60:45:CB:75:B5:FE, 2021-05-06 17:29:00, 2021-05-06 17:29:14, -59,       22, 18:E8:29:91:AB:60,
2C:D0:66:0F:7E:78, 2021-05-06 17:29:00, 2021-05-06 17:29:14, -58,        8, 18:E8:29:91:AB:60,
28:3A:4D:18:FD:87, 2021-05-06 17:28:59, 2021-05-06 17:28:59,  -1,        3, 18:E8:29:91:AB:60,
20:5E:F7:38:3F:72, 2021-05-06 17:28:59, 2021-05-06 17:28:59,  -1,        1, 18:E8:29:91:AB:60,
84:6F:CE:0E:3C:59, 2021-05-06 17:29:13, 2021-05-06 17:29:13, -76,        2, F6:92:BF:9A:4B:35,
36:C1:5C:9A:2E:2D, 2021-05-06 17:29:16, 2021-05-06 17:29:16, -58,        3, (not associated) ,

