
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-08 08:31:10, 2021-05-08 08:31:39,  9, 130, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-08 08:31:15, 2021-05-08 08:31:43, 11, 195, WPA2, CCMP, PSK, -80,        7,      135,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-08 08:31:14, 2021-05-08 08:31:44,  5, 130, WPA2, CCMP, PSK, -72,        8,       23,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-08 08:31:12, 2021-05-08 08:31:46, 11, 130, WPA2, CCMP, PSK, -67,        7,       88,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-08 08:31:15, 2021-05-08 08:31:46, 11, 195, WPA2, CCMP, PSK, -56,        6,      163,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7C:2A:DB:A6:45:AC, 2021-05-08 08:31:29, 2021-05-08 08:31:29, -94,        1, (not associated) ,
DA:A1:19:35:AE:CF, 2021-05-08 08:31:16, 2021-05-08 08:31:16, -90,        2, (not associated) ,
BA:59:0D:03:64:9F, 2021-05-08 08:31:15, 2021-05-08 08:31:17, -88,        2, 18:E8:29:91:AB:60,
DC:B7:2E:DA:B9:24, 2021-05-08 08:31:10, 2021-05-08 08:31:10, -86,        1, (not associated) ,
06:8F:F2:F3:BD:55, 2021-05-08 08:31:20, 2021-05-08 08:31:20, -86,        2, (not associated) ,
28:3A:4D:18:FD:87, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -86,        8, 18:E8:29:91:AB:60,
00:0A:F5:CF:23:44, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -86,        5, 78:8A:20:2D:27:AB,
44:03:2C:DE:44:E1, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -86,        2, 78:8A:20:2D:27:AB,
50:29:F5:DF:F3:1F, 2021-05-08 08:31:45, 2021-05-08 08:31:45, -86,        1, 18:E8:29:91:AB:60,
BE:B4:57:46:5D:AA, 2021-05-08 08:31:13, 2021-05-08 08:31:43, -85,        2, F4:92:BF:AA:3C:81,
0E:2A:2B:D1:5E:E7, 2021-05-08 08:31:12, 2021-05-08 08:31:12, -85,        1, F4:92:BF:AA:3C:81,
4C:49:E3:2B:92:17, 2021-05-08 08:31:15, 2021-05-08 08:31:15, -85,        1, 78:8A:20:2D:27:AB,
82:1D:66:DF:BC:F0, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -85,       10, 78:8A:20:2D:27:AB,
3A:4E:DD:18:88:45, 2021-05-08 08:31:14, 2021-05-08 08:31:24, -84,        3, F4:92:BF:AA:4B:35,
1A:59:88:E5:E8:6D, 2021-05-08 08:31:45, 2021-05-08 08:31:46, -82,        2, 18:E8:29:91:AB:60,
D8:CE:3A:38:B0:D7, 2021-05-08 08:31:15, 2021-05-08 08:31:46, -84,        4, F4:92:BF:AA:3C:81,
2C:D0:66:15:8C:46, 2021-05-08 08:31:15, 2021-05-08 08:31:46, -79,        8, 18:E8:29:91:AB:60,
8E:F2:8E:13:5D:31, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -79,        1, (not associated) ,
A6:B4:A5:89:DB:B1, 2021-05-08 08:31:27, 2021-05-08 08:31:27, -78,        1, 18:E8:29:91:AB:60,
AA:27:55:79:DA:D2, 2021-05-08 08:31:39, 2021-05-08 08:31:41, -77,        2, F4:92:BF:AA:3C:81,
8E:56:25:FD:EC:7E, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -77,        1, (not associated) ,
0C:98:38:29:07:5B, 2021-05-08 08:31:42, 2021-05-08 08:31:44, -76,        4, F4:92:BF:AA:4B:35,
7C:2A:DB:BA:10:04, 2021-05-08 08:31:25, 2021-05-08 08:31:43, -67,        5, 18:E8:29:91:AB:60,
3E:21:ED:1D:59:D4, 2021-05-08 08:31:43, 2021-05-08 08:31:43, -66,        1, 18:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-08 08:31:15, 2021-05-08 08:31:46, -74,       16, F4:92:BF:AA:3C:81,
20:5E:F7:DA:EA:72, 2021-05-08 08:31:12, 2021-05-08 08:31:12, -64,        4, (not associated) ,
40:B0:76:67:4E:78, 2021-05-08 08:31:22, 2021-05-08 08:31:41, -63,        5, 18:E8:29:91:AB:60,
C2:AC:A3:6C:35:0E, 2021-05-08 08:31:15, 2021-05-08 08:31:43, -42,       74, F4:92:BF:AA:3C:81,
D0:C5:D3:D7:95:3D, 2021-05-08 08:31:15, 2021-05-08 08:31:43,  -1,        5, 18:E8:29:91:AB:60,
E4:C4:83:47:18:69, 2021-05-08 08:31:28, 2021-05-08 08:31:28,  -1,        7, F4:92:BF:AA:4B:35,
BE:58:83:80:75:90, 2021-05-08 08:31:42, 2021-05-08 08:31:42,  -1,       15, F4:92:BF:AA:4B:35,
CC:2D:83:97:87:E5, 2021-05-08 08:31:43, 2021-05-08 08:31:43,  -1,        1, 18:E8:29:91:AB:60,
0C:98:38:2B:68:AD, 2021-05-08 08:31:43, 2021-05-08 08:31:43,  -1,        3, 18:E8:29:91:AB:60,

