
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
04:95:E6:18:7D:71, 2021-05-09 13:01:57, 2021-05-09 13:02:12,  7, 130, WPA2, CCMP, PSK, -87,        4,        0,   0.  0.  0.  0,   9, TSCJKTNET, 
D2:F8:8C:3D:A2:AA, 2021-05-09 13:02:11, 2021-05-09 13:02:15,  7,  65, OPN, ,   , -50,        6,        0,   0.  0.  0.  0,   9, TSCJKTNET, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:AA:1A:9C, 2021-05-09 13:02:11, 2021-05-09 13:02:12, -83,        5, (not associated) ,
34:E9:11:0B:11:1F, 2021-05-09 13:02:01, 2021-05-09 13:02:01, -81,        2, (not associated) ,
FA:24:2A:FA:F9:B4, 2021-05-09 13:02:07, 2021-05-09 13:02:09, -79,        2, 18:E8:29:91:AB:60,
7C:2A:DB:BA:10:04, 2021-05-09 13:02:07, 2021-05-09 13:02:07, -79,        2, 18:E8:29:91:AB:60,
B0:E2:35:91:DE:42, 2021-05-09 13:02:05, 2021-05-09 13:02:09, -75,       17, 18:E8:29:91:AB:60,
62:20:07:40:AC:8E, 2021-05-09 13:02:09, 2021-05-09 13:02:10, -72,        3, 18:E8:29:91:AB:60,
DA:A1:19:BF:D3:4F, 2021-05-09 13:01:57, 2021-05-09 13:01:57, -70,       10, (not associated) ,
68:BF:C4:01:C2:3C, 2021-05-09 13:02:07, 2021-05-09 13:02:07, -70,        1, 1A:E8:29:91:AB:60,
4E:CD:DB:F0:0B:B2, 2021-05-09 13:02:07, 2021-05-09 13:02:09, -70,        2, F4:92:BF:AA:3C:81,
96:E7:2E:54:AA:5A, 2021-05-09 13:02:09, 2021-05-09 13:02:09, -68,        1, 1A:E8:29:91:AB:60,
94:87:E0:56:52:B0, 2021-05-09 13:01:56, 2021-05-09 13:01:56, -63,        2, B6:77:BD:B5:93:F2,
40:B0:76:67:4E:78, 2021-05-09 13:02:09, 2021-05-09 13:02:15, -71,        2, 18:E8:29:91:AB:60,
70:3E:AC:95:D4:06, 2021-05-09 13:02:06, 2021-05-09 13:02:06,  -1,        2, F4:92:BF:AA:4B:35,

