
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
78:8A:20:2D:27:AB, 2021-05-09 13:05:30, 2021-05-09 13:10:19, 11, 195, WPA2, CCMP, PSK, -84,       23,      292,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:40:A1, 2021-05-09 13:05:25, 2021-05-09 13:08:27,  9, 130, WPA2, CCMP, PSK, -88,        9,       10,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-09 13:05:25, 2021-05-09 13:10:21, 11, 130, WPA2, CCMP, PSK, -69,       41,      496,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-09 13:05:29, 2021-05-09 13:10:17,  5, 130, WPA2, CCMP, PSK, -70,       49,      148,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-09 13:05:21, 2021-05-09 13:10:21, 11, 195, WPA2, CCMP, PSK, -64,       47,     3009,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AE:61:31:DD:F9:77, 2021-05-09 13:07:59, 2021-05-09 13:09:15, -81,        8, 1A:E8:29:91:AB:60,
C0:87:EB:11:0D:C9, 2021-05-09 13:09:17, 2021-05-09 13:09:17, -87,        2, (not associated) ,
B0:68:E6:61:B7:9B, 2021-05-09 13:09:17, 2021-05-09 13:09:17, -90,        2, 18:E8:29:91:AB:60,
84:6F:CE:0E:3C:59, 2021-05-09 13:06:00, 2021-05-09 13:09:02,  -1,       35, 1A:E8:29:91:AB:60,
9E:3F:A9:91:9D:81, 2021-05-09 13:07:02, 2021-05-09 13:09:03, -58,        4, F4:92:BF:AA:4B:35,
B0:E2:35:91:DE:42, 2021-05-09 13:05:24, 2021-05-09 13:09:02, -79,        6, 18:E8:29:91:AB:60,ACT-FOUNDATION
4C:49:E3:2B:92:17, 2021-05-09 13:06:45, 2021-05-09 13:09:02, -93,        3, 78:8A:20:2D:27:AB,
9E:31:36:65:59:F2, 2021-05-09 13:08:49, 2021-05-09 13:08:49, -80,        1, (not associated) ,
58:C6:F0:40:5F:BB, 2021-05-09 13:05:30, 2021-05-09 13:08:16,  -1,        9, 18:E8:29:91:AB:60,
70:3E:AC:95:D4:06, 2021-05-09 13:05:59, 2021-05-09 13:08:15, -79,       26, F4:92:BF:AA:4B:35,
DA:A1:19:56:E3:80, 2021-05-09 13:08:05, 2021-05-09 13:08:05, -69,        2, (not associated) ,
DA:A1:19:F7:5A:E9, 2021-05-09 13:08:02, 2021-05-09 13:08:02, -72,        6, (not associated) ,
B4:A5:AC:B6:AC:59, 2021-05-09 13:05:50, 2021-05-09 13:08:00, -87,       12, F4:92:BF:AA:4B:35,
A6:5F:69:0A:A3:AF, 2021-05-09 13:08:00, 2021-05-09 13:08:00, -94,        1, F4:92:BF:AA:4B:35,
DC:B7:2E:DF:67:B4, 2021-05-09 13:07:53, 2021-05-09 13:07:53,  -1,        1, FC:A6:CD:31:9F:B0,
DA:A1:19:96:C2:3D, 2021-05-09 13:07:52, 2021-05-09 13:07:52, -85,        2, (not associated) ,
28:3A:4D:08:90:4F, 2021-05-09 13:07:53, 2021-05-09 13:07:53, -90,        1, (not associated) ,
46:84:F7:22:67:3C, 2021-05-09 13:07:26, 2021-05-09 13:07:26,  -1,        2, F4:92:BF:AA:40:A1,
3E:21:ED:1D:59:D4, 2021-05-09 13:07:03, 2021-05-09 13:07:28, -78,        3, 18:E8:29:91:AB:60,
70:DD:A8:57:1D:60, 2021-05-09 13:05:30, 2021-05-09 13:07:13, -86,        2, 18:E8:29:91:AB:60,
DA:A1:19:39:D0:2C, 2021-05-09 13:07:14, 2021-05-09 13:07:14, -94,        2, (not associated) ,
DA:A1:19:AA:85:8E, 2021-05-09 13:07:00, 2021-05-09 13:07:00, -82,        6, (not associated) ,
C4:E1:A1:E6:29:CF, 2021-05-09 13:05:27, 2021-05-09 13:07:01, -86,        3, 78:8A:20:2D:27:AB,
D8:CE:3A:38:B0:D7, 2021-05-09 13:05:43, 2021-05-09 13:06:48, -78,        6, F4:92:BF:AA:3C:81,
4E:59:37:F7:0C:24, 2021-05-09 13:06:49, 2021-05-09 13:06:49, -82,        1, (not associated) ,
B8:C7:4A:A0:8E:C5, 2021-05-09 13:06:41, 2021-05-09 13:06:41,  -1,        1, F4:92:BF:AA:40:A1,
DA:A1:19:35:95:2E, 2021-05-09 13:06:36, 2021-05-09 13:06:36, -85,        2, (not associated) ,
2C:D0:5A:FA:DC:D2, 2021-05-09 13:06:27, 2021-05-09 13:06:27, -89,        1, (not associated) ,
DA:A1:19:6A:95:6B, 2021-05-09 13:06:13, 2021-05-09 13:06:13, -67,        4, (not associated) ,
94:87:E0:51:7E:DF, 2021-05-09 13:06:16, 2021-05-09 13:06:16, -93,        1, (not associated) ,Galaxy S101cad
06:C8:07:2D:0A:0D, 2021-05-09 13:06:00, 2021-05-09 13:06:00, -70,        3, (not associated) ,
DA:A1:19:FF:E4:11, 2021-05-09 13:06:02, 2021-05-09 13:06:03, -81,        7, (not associated) ,
00:EC:0A:BF:D3:B2, 2021-05-09 13:06:00, 2021-05-09 13:06:00, -81,       14, 18:E8:29:91:AB:60,
46:43:C6:49:53:9E, 2021-05-09 13:06:00, 2021-05-09 13:06:00, -88,        1, (not associated) ,
DA:A1:19:A7:B0:73, 2021-05-09 13:05:39, 2021-05-09 13:05:39, -83,        1, (not associated) ,
1A:F0:52:97:AB:07, 2021-05-09 13:05:38, 2021-05-09 13:05:38, -83,        3, (not associated) ,
DA:A1:19:55:33:A3, 2021-05-09 13:05:37, 2021-05-09 13:05:37, -84,        5, (not associated) ,PHYcareline
80:19:34:88:E8:61, 2021-05-09 13:05:22, 2021-05-09 13:05:22,  -1,        1, B6:77:BD:B5:93:F2,
DA:A1:19:71:DF:87, 2021-05-09 13:05:32, 2021-05-09 13:05:32, -80,        2, (not associated) ,
DA:A1:19:47:69:1B, 2021-05-09 13:05:46, 2021-05-09 13:05:46, -83,        4, (not associated) ,PHYcareline
DA:A1:19:85:63:C7, 2021-05-09 13:05:58, 2021-05-09 13:05:58, -87,        4, (not associated) ,AKSES INTERNET DI BLOKIR- TELKOM
DA:A1:19:C4:93:3D, 2021-05-09 13:05:57, 2021-05-09 13:05:57, -81,        1, (not associated) ,t
7C:2A:DB:C0:01:4A, 2021-05-09 13:05:25, 2021-05-09 13:05:56,  -1,        4, F4:92:BF:AA:40:A1,
A4:D9:90:F1:57:85, 2021-05-09 13:05:56, 2021-05-09 13:05:56,  -1,        3, F4:92:BF:AA:40:A1,
DA:A1:19:FC:48:30, 2021-05-09 13:06:19, 2021-05-09 13:06:19, -76,       24, (not associated) ,Roby Darmawan,aldero,RobyDarmawanDara,Roby's iPhone
48:5F:99:55:7C:55, 2021-05-09 13:05:43, 2021-05-09 13:06:44, -86,        6, (not associated) ,
7E:2A:DB:7D:7A:7D, 2021-05-09 13:06:46, 2021-05-09 13:06:46, -79,        2, (not associated) ,
CC:2D:83:97:87:E5, 2021-05-09 13:06:15, 2021-05-09 13:06:45,  -1,       36, 18:E8:29:91:AB:60,
DA:A1:19:17:5A:72, 2021-05-09 13:07:31, 2021-05-09 13:07:31, -93,        3, (not associated) ,AKSES INTERNET DI BLOKIR- TELKOM
DA:A1:19:33:91:7C, 2021-05-09 13:07:29, 2021-05-09 13:07:30, -57,       17, (not associated) ,icalkeren,BAGUS,Motivator School,Mimiema,Rumah Berkah,cari,OPPO 1202
72:3B:84:F0:07:8A, 2021-05-09 13:05:29, 2021-05-09 13:07:45, -92,       15, F4:92:BF:AA:4B:35,PHYcareline
DA:A1:19:7A:3E:FD, 2021-05-09 13:07:46, 2021-05-09 13:07:46, -87,        4, (not associated) ,AKSES INTERNET DI BLOKIR- TELKOM
70:5E:55:A6:DD:59, 2021-05-09 13:07:44, 2021-05-09 13:10:19, -92,        3, 78:8A:20:2D:27:AB,
C8:3D:DC:D5:50:6C, 2021-05-09 13:07:45, 2021-05-09 13:07:45, -86,        4, (not associated) ,sarah mukaromah
BA:59:0D:03:64:9F, 2021-05-09 13:06:17, 2021-05-09 13:10:21, -83,        3, 18:E8:29:91:AB:60,
20:5E:F7:DA:EA:72, 2021-05-09 13:07:44, 2021-05-09 13:07:44, -75,        2, (not associated) ,
D6:29:99:B3:29:39, 2021-05-09 13:07:55, 2021-05-09 13:07:55, -90,        2, (not associated) ,
2C:D0:66:0F:7E:78, 2021-05-09 13:07:58, 2021-05-09 13:07:58, -86,        2, (not associated) ,
E0:D4:64:CC:07:45, 2021-05-09 13:05:59, 2021-05-09 13:08:10, -89,        2, (not associated) ,PHYcareline
C0:87:EB:37:8C:A3, 2021-05-09 13:08:09, 2021-05-09 13:08:09, -71,        4, (not associated) ,
F8:E7:A0:03:E6:3D, 2021-05-09 13:08:20, 2021-05-09 13:08:20, -93,        2, (not associated) ,
D8:CE:3A:5A:D1:5D, 2021-05-09 13:08:21, 2021-05-09 13:08:21, -79,        3, (not associated) ,
4C:49:E3:58:A5:0C, 2021-05-09 13:05:45, 2021-05-09 13:08:32, -85,       10, 78:8A:20:2D:27:AB,
62:20:07:40:AC:8E, 2021-05-09 13:07:00, 2021-05-09 13:08:34, -82,       14, 18:E8:29:91:AB:60,
