
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F6:92:BF:9A:40:A1, 2021-05-10 17:37:29, 2021-05-10 17:37:29,  9, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
7A:8A:20:2D:27:AB, 2021-05-10 17:37:33, 2021-05-10 17:37:59, 11, 195, WPA2, CCMP, PSK, -82,        5,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:4B:35, 2021-05-10 17:37:29, 2021-05-10 17:37:58,  5, 130, WPA2, CCMP, PSK, -72,        5,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:3C:81, 2021-05-10 17:37:32, 2021-05-10 17:37:59, 11, 130, WPA2, CCMP, PSK, -66,        9,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
1A:E8:29:91:AB:60, 2021-05-10 17:37:24, 2021-05-10 17:37:59, 11, 195, WPA2, CCMP, PSK, -56,        8,        5,   0.  0.  0.  0,  14, PHYcoordinator, 
D2:F8:8C:3D:A2:AA, 2021-05-10 17:38:03, 2021-05-10 17:38:03,  6,  65, OPN, ,   , -47,        2,        0,   0.  0.  0.  0,  14, PHYcoordinator, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:D4:37:0E, 2021-05-10 17:37:59, 2021-05-10 17:37:59, -93,        1, (not associated) ,AndroidAP0CB5
BE:B4:57:46:5D:AA, 2021-05-10 17:37:33, 2021-05-10 17:37:33, -89,        1, F4:92:BF:AA:3C:81,
B4:A5:AC:B6:AC:59, 2021-05-10 17:37:44, 2021-05-10 17:37:44, -89,        1, 18:E8:29:91:AB:60,
B2:D1:FE:DC:7D:EA, 2021-05-10 17:37:32, 2021-05-10 17:37:46, -88,        6, 78:8A:20:2D:27:AB,
42:76:94:D1:46:38, 2021-05-10 17:37:53, 2021-05-10 17:37:59, -87,        7, 78:8A:20:2D:27:AB,
2C:D0:5A:FA:DC:D2, 2021-05-10 17:37:29, 2021-05-10 17:37:29, -87,        1, (not associated) ,
62:AE:93:D4:83:3A, 2021-05-10 17:37:42, 2021-05-10 17:37:42, -87,        3, (not associated) ,
BE:36:6D:BB:CA:DF, 2021-05-10 17:37:52, 2021-05-10 17:37:52, -87,        1, 28:41:C6:49:63:08,
08:7F:98:C4:23:AB, 2021-05-10 17:37:28, 2021-05-10 17:37:28, -85,        1, F4:92:BF:AA:3C:81,
4E:59:37:F7:0C:24, 2021-05-10 17:37:46, 2021-05-10 17:37:46, -85,        5, 18:E8:29:91:AB:60,
1A:59:88:E5:E8:6D, 2021-05-10 17:37:33, 2021-05-10 17:38:01, -85,        6, 18:E8:29:91:AB:60,
