
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7A:8A:20:2D:27:AB, 2021-05-11 18:32:28, 2021-05-11 18:33:21, 11, 195, WPA2, CCMP, PSK, -79,       10,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:4B:35, 2021-05-11 18:32:38, 2021-05-11 18:33:20,  5, 130, WPA2, CCMP, PSK, -72,       10,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
F6:92:BF:9A:3C:81, 2021-05-11 18:32:28, 2021-05-11 18:33:21, 11, 130, WPA2, CCMP, PSK, -66,        9,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
1A:E8:29:91:AB:60, 2021-05-11 18:32:28, 2021-05-11 18:33:21, 11, 195, WPA2, CCMP, PSK, -60,       10,        0,   0.  0.  0.  0,  14, PHYcoordinator, 
36:97:F6:C7:0C:DC, 2021-05-11 18:33:22, 2021-05-11 18:33:26, 13,  65, WPA2, CCMP, PSK, -50,        5,        1,   0.  0.  0.  0,  14, PHYcoordinator, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
02:44:5A:0C:BB:0E, 2021-05-11 18:32:28, 2021-05-11 18:32:28, -94,        1, 7A:8A:20:2D:27:AB,
28:3A:4D:08:90:4F, 2021-05-11 18:33:11, 2021-05-11 18:33:11, -93,        1, (not associated) ,
DA:A1:19:94:96:AF, 2021-05-11 18:33:06, 2021-05-11 18:33:06, -92,        2, (not associated) ,
5A:9B:3A:95:C3:79, 2021-05-11 18:32:28, 2021-05-11 18:32:28, -88,        2, (not associated) ,
1C:CC:D6:D7:F3:FE, 2021-05-11 18:32:41, 2021-05-11 18:32:41, -88,        1, (not associated) ,
A4:D9:90:D0:CD:A1, 2021-05-11 18:33:05, 2021-05-11 18:33:26, -84,        9, 78:8A:20:2D:27:AB,
4C:49:E3:58:A5:0C, 2021-05-11 18:33:07, 2021-05-11 18:33:07, -88,        1, 78:8A:20:2D:27:AB,
D8:CE:3A:38:B0:D7, 2021-05-11 18:33:17, 2021-05-11 18:33:17, -88,        1, 78:8A:20:2D:27:AB,
B2:D1:FE:DC:7D:EA, 2021-05-11 18:32:39, 2021-05-11 18:32:40, -86,       12, 78:8A:20:2D:27:AB,
70:B7:AA:AB:1B:A3, 2021-05-11 18:32:36, 2021-05-11 18:33:07, -86,        3, (not associated) ,PHYcareline
08:7F:98:C4:23:AB, 2021-05-11 18:32:39, 2021-05-11 18:32:53, -85,        3, F4:92:BF:AA:3C:81,
DA:A1:19:34:E4:9D, 2021-05-11 18:32:56, 2021-05-11 18:32:56, -81,        2, (not associated) ,
3A:E7:F7:29:47:95, 2021-05-11 18:32:28, 2021-05-11 18:33:21, -80,        8, 18:E8:29:91:AB:60,
53:23:F3:AD:74:F5, 2021-05-11 18:33:21, 2021-05-11 18:33:21, -80,        1, (not associated) ,
1A:59:88:E5:E8:6D, 2021-05-11 18:32:51, 2021-05-11 18:32:51, -79,        3, 18:E8:29:91:AB:60,
DA:A1:19:8F:F4:A8, 2021-05-11 18:33:02, 2021-05-11 18:33:02, -78,        6, (not associated) ,t,Fanazalma
9E:3F:A9:91:9D:81, 2021-05-11 18:32:40, 2021-05-11 18:33:22, -59,        2, 18:E8:29:91:AB:60,
4E:CD:DB:F0:0B:B2, 2021-05-11 18:32:34, 2021-05-11 18:33:19, -74,       42, (not associated) ,
68:BF:C4:01:C2:3C, 2021-05-11 18:33:04, 2021-05-11 18:33:04, -74,        1, F6:92:BF:9A:4B:35,
0C:98:38:29:07:5B, 2021-05-11 18:33:07, 2021-05-11 18:33:21, -74,       21, F4:92:BF:AA:3C:81,
EA:82:A4:70:B4:4A, 2021-05-11 18:32:35, 2021-05-11 18:33:26, -84,       30, F4:92:BF:AA:3C:81,
6E:1A:42:91:F1:FC, 2021-05-11 18:33:13, 2021-05-11 18:33:13, -72,        3, (not associated) ,
D0:9C:7A:05:4A:58, 2021-05-11 18:32:37, 2021-05-11 18:32:55, -69,       20, F4:92:BF:AA:3C:81,PHYcareline,Mandiri 123
AA:27:55:79:DA:D2, 2021-05-11 18:32:38, 2021-05-11 18:32:38, -69,        1, F4:92:BF:AA:4B:35,
EE:73:C7:DF:DB:62, 2021-05-11 18:32:39, 2021-05-11 18:33:19, -68,        5, 18:E8:29:91:AB:60,
80:19:34:88:E8:61, 2021-05-11 18:32:29, 2021-05-11 18:32:29, -63,        2, (not associated) ,
36:97:F6:C7:0C:DC, 2021-05-11 18:33:21, 2021-05-11 18:33:22, -52,        5, (not associated) ,
34:97:F6:C7:0C:DC, 2021-05-11 18:33:01, 2021-05-11 18:33:01, -45,        4, (not associated) ,
70:5E:55:A6:DD:59, 2021-05-11 18:33:07, 2021-05-11 18:33:21,  -1,       50, 18:E8:29:91:AB:60,
0E:2A:2B:D1:5E:E7, 2021-05-11 18:33:20, 2021-05-11 18:33:21,  -1,      204, F4:92:BF:AA:3C:81,
D0:C5:D3:D7:95:3D, 2021-05-11 18:33:24, 2021-05-11 18:33:24, -86,        4, (not associated) ,
D2:FE:EA:AD:1D:7C, 2021-05-11 18:33:25, 2021-05-11 18:33:25, -86,        2, (not associated) ,
8A:94:E6:FC:D6:0C, 2021-05-11 18:33:25, 2021-05-11 18:33:25, -66,        3, (not associated) ,
62:20:07:40:AC:8E, 2021-05-11 18:33:25, 2021-05-11 18:33:25, -75,        1, 18:E8:29:91:AB:60,

