
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:92:BF:AA:40:A1, 2021-05-26 16:17:50, 2021-05-26 16:18:44,  9, 130, WPA2, CCMP, PSK, -74,       20,       37,   0.  0.  0.  0,  11, PHYcareline, 
68:D7:9A:74:35:EB, 2021-05-26 16:17:52, 2021-05-26 16:18:40, 11, 195, WPA2, CCMP, PSK, -76,       12,       20,   0.  0.  0.  0,  11, PHYcareline, 
F4:92:BF:AA:4B:35, 2021-05-26 16:17:51, 2021-05-26 16:18:40,  5, 130, WPA2, CCMP, PSK, -61,       22,       22,   0.  0.  0.  0,  11, PHYcareline, 
18:E8:29:91:AB:60, 2021-05-26 16:17:52, 2021-05-26 16:18:40, 11, 195, WPA2, CCMP, PSK, -60,       19,      281,   0.  0.  0.  0,  11, PHYcareline, 
78:8A:20:2D:27:AB, 2021-05-26 16:17:52, 2021-05-26 16:18:31, 11, 195, WPA2, CCMP, PSK, -55,       16,       31,   0.  0.  0.  0,  11, PHYcareline, 
36:97:F6:C7:0C:DC, 2021-05-26 16:18:04, 2021-05-26 16:18:42,  7,  65, WPA2 OPN, CCMP, PSK, -42,       13,        4,   0.  0.  0.  0,  13, PHYcareline, 
F4:92:BF:AA:3C:81, 2021-05-26 16:17:52, 2021-05-26 16:18:43, 11, 130, WPA2, CCMP, PSK, -36,       22,      925,   0.  0.  0.  0,  11, PHYcareline, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0C:98:38:E0:CB:E1, 2021-05-26 16:17:52, 2021-05-26 16:18:20, -96,       22, F4:92:BF:AA:40:A1,
20:5E:F7:38:3F:72, 2021-05-26 16:18:11, 2021-05-26 16:18:11, -94,        1, 68:D7:9A:74:35:EB,
70:BB:E9:E8:EE:1B, 2021-05-26 16:17:57, 2021-05-26 16:17:57, -93,        2, (not associated) ,AndroidAP,AndroidAp
1A:3E:5C:4A:43:C9, 2021-05-26 16:17:50, 2021-05-26 16:18:21, -93,      213, F4:92:BF:AA:3C:81,PHYcareline
8E:A4:02:B2:64:AA, 2021-05-26 16:18:17, 2021-05-26 16:18:17, -92,        3, (not associated) ,
DA:A1:19:DA:62:73, 2021-05-26 16:18:13, 2021-05-26 16:18:13, -91,        1, (not associated) ,
A4:D9:90:EF:3A:9F, 2021-05-26 16:18:20, 2021-05-26 16:18:20, -91,        4, F4:92:BF:AA:40:A1,
E8:2A:EA:DB:B8:34, 2021-05-26 16:18:20, 2021-05-26 16:18:20, -91,        1, (not associated) ,
04:92:26:AC:0A:0B, 2021-05-26 16:18:21, 2021-05-26 16:18:21, -91,        1, 56:8D:93:6A:12:7A,
40:9F:38:D9:EC:87, 2021-05-26 16:18:03, 2021-05-26 16:18:41, -90,        3, A6:D9:90:40:B0:D1,
56:DE:15:59:09:FF, 2021-05-26 16:18:36, 2021-05-26 16:18:37, -90,        4, (not associated) ,
28:3A:4D:18:03:FD, 2021-05-26 16:17:52, 2021-05-26 16:18:41, -89,       98, 6A:D7:9A:74:35:EB,
DE:5F:79:93:50:A8, 2021-05-26 16:18:18, 2021-05-26 16:18:18, -89,        1, (not associated) ,
AE:61:31:DD:F9:77, 2021-05-26 16:18:19, 2021-05-26 16:18:20, -89,        3, F6:92:BF:9A:40:A1,
DA:A1:19:D7:22:92, 2021-05-26 16:18:21, 2021-05-26 16:18:22, -89,        3, (not associated) ,
5E:1A:00:36:73:72, 2021-05-26 16:18:32, 2021-05-26 16:18:32, -89,        4, (not associated) ,
1C:CC:D6:D7:F3:FE, 2021-05-26 16:17:52, 2021-05-26 16:18:01, -88,        5, 68:D7:9A:74:35:EB,
2C:D0:5A:FA:DC:D2, 2021-05-26 16:17:57, 2021-05-26 16:17:57, -88,        1, 6A:D7:9A:74:35:EB,
DE:9A:C6:FB:62:80, 2021-05-26 16:18:18, 2021-05-26 16:18:18, -88,        2, (not associated) ,
0C:8B:FD:70:34:7E, 2021-05-26 16:18:39, 2021-05-26 16:18:39, -88,        2, (not associated) ,
D2:5B:77:06:F5:23, 2021-05-26 16:17:56, 2021-05-26 16:18:10, -87,        4, F4:92:BF:AA:40:A1,
DA:A1:19:0A:78:0F, 2021-05-26 16:18:05, 2021-05-26 16:18:05, -87,        8, (not associated) ,OPPO_CPH1803_co_apabcf,iPhone
14:4D:67:9E:D1:90, 2021-05-26 16:17:59, 2021-05-26 16:18:41, -87,        8, 64:D1:54:AC:45:AF,
5E:FC:D0:32:FB:20, 2021-05-26 16:17:49, 2021-05-26 16:18:39, -86,       10, (not associated) ,
46:80:8B:4E:AF:DC, 2021-05-26 16:17:50, 2021-05-26 16:18:44, -88,      251, F4:92:BF:AA:40:A1,
3C:B6:B7:23:0C:D9, 2021-05-26 16:17:49, 2021-05-26 16:17:49, -85,        2, (not associated) ,
F2:08:61:76:FD:18, 2021-05-26 16:17:55, 2021-05-26 16:17:55, -85,        1, (not associated) ,
DA:A1:19:02:01:B0, 2021-05-26 16:18:18, 2021-05-26 16:18:18, -85,        2, (not associated) ,
70:5E:55:2A:E0:95, 2021-05-26 16:17:52, 2021-05-26 16:17:52, -84,        2, 68:D7:9A:74:35:EB,
5E:1A:00:14:D3:F2, 2021-05-26 16:18:24, 2021-05-26 16:18:24, -84,        2, (not associated) ,
5E:1A:00:10:B5:2E, 2021-05-26 16:17:57, 2021-05-26 16:17:57, -83,        1, (not associated) ,
C4:E1:A1:E6:29:CF, 2021-05-26 16:17:57, 2021-05-26 16:18:07, -82,        3, 78:8A:20:2D:27:AB,
A2:5F:91:E0:C6:9C, 2021-05-26 16:17:51, 2021-05-26 16:18:20, -82,       14, 18:E8:29:91:AB:60,PHYcareline
76:4F:93:97:01:49, 2021-05-26 16:18:37, 2021-05-26 16:18:42, -70,       12, 8A:A7:73:5A:73:B6,Nadinyaw
C2:5E:30:B4:AF:C4, 2021-05-26 16:18:39, 2021-05-26 16:18:39, -82,        2, (not associated) ,
26:75:01:59:74:A6, 2021-05-26 16:17:56, 2021-05-26 16:18:11, -81,        5, (not associated) ,PHYcareline
88:AE:07:B1:B1:47, 2021-05-26 16:18:07, 2021-05-26 16:18:43, -91,       69, F4:92:BF:AA:3C:81,PHYcareline
CA:ED:43:98:E8:94, 2021-05-26 16:17:54, 2021-05-26 16:17:54, -79,        4, (not associated) ,PHYcareline
EA:4C:AD:FE:FF:19, 2021-05-26 16:17:51, 2021-05-26 16:18:34, -78,       26, F6:92:BF:9A:4B:35,
0A:0A:EB:DA:45:0A, 2021-05-26 16:17:53, 2021-05-26 16:17:53, -77,       10, (not associated) ,PHYcareline
B4:A5:AC:B6:AC:59, 2021-05-26 16:18:07, 2021-05-26 16:18:11, -76,        4, 68:D7:9A:74:35:EB,
32:C3:CC:41:0A:49, 2021-05-26 16:18:32, 2021-05-26 16:18:32, -76,        6, (not associated) ,
D8:CE:3A:5A:D1:5D, 2021-05-26 16:18:29, 2021-05-26 16:18:37, -76,        9, (not associated) ,
9E:3F:A9:91:9D:81, 2021-05-26 16:17:53, 2021-05-26 16:18:35, -75,      850, F4:92:BF:AA:3C:81,
EA:82:A4:70:B4:4A, 2021-05-26 16:17:52, 2021-05-26 16:18:11, -75,        3, 18:E8:29:91:AB:60,
DA:A1:19:42:28:A7, 2021-05-26 16:18:37, 2021-05-26 16:18:37, -75,        2, (not associated) ,
8A:A7:73:5A:73:B6, 2021-05-26 16:18:18, 2021-05-26 16:18:23, -74,        7, (not associated) ,
B6:D2:42:71:AF:AC, 2021-05-26 16:17:51, 2021-05-26 16:18:25, -73,       26, F4:92:BF:AA:4B:35,PHYcareline
9E:A0:8E:3B:C3:94, 2021-05-26 16:17:56, 2021-05-26 16:18:31, -72,        8, 18:E8:29:91:AB:60,
A4:D9:90:37:6C:37, 2021-05-26 16:17:52, 2021-05-26 16:17:52, -72,        1, (not associated) ,
94:87:E0:51:7E:DF, 2021-05-26 16:18:18, 2021-05-26 16:18:18, -72,        1, (not associated) ,
BA:59:0D:03:64:9F, 2021-05-26 16:17:58, 2021-05-26 16:18:35, -72,        6, 18:E8:29:91:AB:60,
2C:D0:66:15:8C:46, 2021-05-26 16:18:20, 2021-05-26 16:18:30, -71,        4, 18:E8:29:91:AB:60,
DA:A1:19:ED:C7:9C, 2021-05-26 16:18:27, 2021-05-26 16:18:27, -70,        2, (not associated) ,
1A:DC:44:DB:4D:F5, 2021-05-26 16:17:54, 2021-05-26 16:17:54, -69,        3, (not associated) ,
3E:21:ED:1D:59:D4, 2021-05-26 16:18:01, 2021-05-26 16:18:15, -69,        6, 18:E8:29:91:AB:60,
F6:7E:BE:01:26:23, 2021-05-26 16:18:25, 2021-05-26 16:18:25, -66,        3, 18:E8:29:91:AB:60,
00:EC:0A:BF:D3:B2, 2021-05-26 16:18:11, 2021-05-26 16:18:40, -65,       26, 18:E8:29:91:AB:60,
3C:B6:B7:3B:FF:FF, 2021-05-26 16:18:23, 2021-05-26 16:18:31, -64,       28, DA:A0:8B:BA:BF:71,
94:87:E0:56:52:B0, 2021-05-26 16:17:59, 2021-05-26 16:18:43, -74,       23, B6:77:BD:B5:93:F2,Tenda_ED4330
8A:49:3D:8A:85:B5, 2021-05-26 16:17:56, 2021-05-26 16:18:31, -63,       28, 18:E8:29:91:AB:60,
DA:A1:19:35:0E:3D, 2021-05-26 16:18:39, 2021-05-26 16:18:39, -63,        8, (not associated) ,
80:19:34:88:E8:61, 2021-05-26 16:18:29, 2021-05-26 16:18:30, -62,        7, (not associated) ,
4E:CD:DB:F0:0B:B2, 2021-05-26 16:18:30, 2021-05-26 16:18:30, -62,        1, 18:E8:29:91:AB:60,
